id,post_id,topic_id,post_number,created_at,updated_at,deleted_at,deleted_by
826,1616,503,12,2019-05-02 08:39:58 UTC,2019-05-02 08:39:58 UTC,,
914,1804,614,2,2019-05-28 11:51:38 UTC,2019-05-28 11:51:38 UTC,,
1123,1996,582,3,2019-07-13 08:09:56 UTC,2019-07-13 08:09:56 UTC,,
1124,2041,721,1,2019-07-13 10:23:33 UTC,2019-07-13 10:23:33 UTC,,
1126,2060,725,2,2019-07-13 23:43:31 UTC,2019-07-13 23:43:31 UTC,,
2103,3972,582,4,2020-04-11 23:02:35 UTC,2020-04-11 23:02:35 UTC,,
2187,4152,1311,1,2020-04-23 16:53:29 UTC,2020-04-23 16:53:29 UTC,,
2188,4153,1311,2,2020-04-23 16:53:36 UTC,2020-04-23 16:53:36 UTC,,
2189,4158,1311,3,2020-04-23 16:53:39 UTC,2020-04-23 16:53:39 UTC,,
2190,1783,638,1,2020-04-23 16:55:00 UTC,2020-04-23 16:55:00 UTC,,
2199,4203,1311,5,2020-04-25 23:27:10 UTC,2020-04-25 23:27:10 UTC,,
2207,4221,1335,2,2020-04-29 00:00:07 UTC,2020-04-29 00:00:07 UTC,,
2208,4225,1335,3,2020-04-29 00:00:09 UTC,2020-04-29 00:00:09 UTC,,
2209,4216,1335,1,2020-04-29 00:00:11 UTC,2020-04-29 00:00:11 UTC,,
2210,1054,401,1,2020-04-29 00:00:36 UTC,2020-04-29 00:00:36 UTC,,
2219,2701,880,1,2020-05-01 06:27:00 UTC,2020-05-01 06:27:00 UTC,,
2220,2802,880,4,2020-05-01 06:27:08 UTC,2020-05-01 06:27:08 UTC,,
2221,2803,880,5,2020-05-01 06:27:17 UTC,2020-05-01 06:27:17 UTC,,
2222,4030,1271,1,2020-05-01 06:28:24 UTC,2020-05-01 06:28:24 UTC,,
2227,2226,762,1,2020-05-01 18:09:38 UTC,2020-05-01 18:09:38 UTC,,
2250,3206,1027,4,2020-05-06 21:29:21 UTC,2020-05-06 21:29:21 UTC,,
2292,1203,440,4,2020-05-28 01:13:39 UTC,2020-05-28 01:13:39 UTC,,
2295,4409,952,43,2020-05-28 19:14:54 UTC,2020-05-28 19:14:54 UTC,,
2296,4485,952,44,2020-05-28 19:14:56 UTC,2020-05-28 19:14:56 UTC,,
2415,4793,1565,1,2020-07-05 11:01:24 UTC,2020-07-05 11:01:24 UTC,,
2416,4167,1319,1,2020-07-05 11:01:35 UTC,2020-07-05 11:01:35 UTC,,
2458,4989,1646,1,2020-07-23 19:42:18 UTC,2020-07-23 19:42:19 UTC,,
2476,4640,401,109,2020-07-29 08:07:59 UTC,2020-07-29 08:07:59 UTC,,
2478,4901,1604,2,2020-07-29 08:09:42 UTC,2020-07-29 08:09:42 UTC,,
2665,5599,1864,8,2020-10-02 08:46:10 UTC,2020-10-02 08:46:10 UTC,,
2694,5650,1890,1,2020-10-08 14:32:19 UTC,2020-10-08 14:32:19 UTC,,
2717,5722,1921,1,2020-10-14 02:33:21 UTC,2020-10-14 02:33:21 UTC,,
2718,3835,1211,1,2020-10-14 02:40:38 UTC,2020-10-14 02:40:38 UTC,,
2731,5729,1923,2,2020-10-19 14:35:54 UTC,2020-10-19 14:35:54 UTC,,
2732,656,281,1,2020-10-19 14:36:48 UTC,2020-10-19 14:36:48 UTC,,
2741,2455,401,39,2020-10-20 14:58:48 UTC,2020-10-20 14:58:48 UTC,,
2807,1720,595,4,2020-11-18 00:46:45 UTC,2020-11-18 00:46:45 UTC,,
2808,1722,595,5,2020-11-18 00:46:47 UTC,2020-11-18 00:46:48 UTC,,
2872,5471,1805,2,2020-12-07 22:23:55 UTC,2020-12-07 22:23:55 UTC,,
2968,5058,218,2,2021-01-01 04:26:19 UTC,2021-01-01 04:26:19 UTC,,
3112,3721,1146,2,2021-02-05 02:24:41 UTC,2021-02-05 02:24:41 UTC,,
3118,6807,2365,1,2021-02-08 03:04:48 UTC,2021-02-08 03:04:48 UTC,,
3120,6931,2425,1,2021-02-08 03:06:38 UTC,2021-02-08 03:06:38 UTC,,
3157,6970,2425,3,2021-02-16 23:21:20 UTC,2021-02-16 23:21:20 UTC,,
3367,6527,2282,1,2021-03-29 21:38:50 UTC,2021-03-29 21:38:50 UTC,,
3445,7298,2586,1,2021-05-03 19:46:16 UTC,2021-05-03 19:46:16 UTC,,
3446,2624,750,4,2021-05-03 20:03:34 UTC,2021-05-03 20:03:34 UTC,,
3447,7803,2788,1,2021-05-03 20:08:19 UTC,2021-05-03 20:08:19 UTC,,
3448,6543,2283,1,2021-05-03 20:09:18 UTC,2021-05-03 20:09:18 UTC,,
3449,3913,1232,1,2021-05-03 20:10:25 UTC,2021-05-03 20:10:25 UTC,,
3450,5042,1663,2,2021-05-04 02:39:10 UTC,2021-05-04 02:39:10 UTC,,
3452,7886,2832,1,2021-05-05 02:16:08 UTC,2021-05-05 02:16:08 UTC,,
3453,7482,2652,1,2021-05-05 12:11:36 UTC,2021-05-05 12:11:36 UTC,,
3454,5179,1720,1,2021-05-05 13:15:03 UTC,2021-05-05 13:15:03 UTC,,
3458,305,25,10,2021-05-06 16:25:47 UTC,2021-05-06 16:25:47 UTC,,
3459,7730,25,64,2021-05-06 16:53:14 UTC,2021-05-06 16:53:14 UTC,,
3460,7892,2834,2,2021-05-06 22:59:35 UTC,2021-05-06 22:59:35 UTC,,
3462,2794,908,1,2021-05-07 20:20:54 UTC,2021-05-07 20:20:54 UTC,,
3464,7326,2592,4,2021-05-08 15:31:34 UTC,2021-05-08 15:31:34 UTC,,
3465,7331,2592,6,2021-05-08 15:32:12 UTC,2021-05-08 15:32:12 UTC,,
3476,7968,2831,3,2021-05-16 00:41:22 UTC,2021-05-16 00:41:22 UTC,,
3477,7970,2831,5,2021-05-17 00:20:52 UTC,2021-05-17 00:20:52 UTC,,
3482,4660,1516,2,2021-05-22 15:15:49 UTC,2021-05-22 15:15:50 UTC,,
3483,4617,1502,1,2021-05-24 05:53:33 UTC,2021-05-24 05:53:33 UTC,,
3484,2938,952,1,2021-05-24 05:53:43 UTC,2021-05-24 05:53:43 UTC,,
3487,4175,1290,2,2021-05-27 22:40:19 UTC,2021-05-27 22:40:19 UTC,,
3502,8081,2927,1,2021-06-05 17:57:04 UTC,2021-06-05 17:57:04 UTC,,
3512,8106,2592,9,2021-06-09 16:57:54 UTC,2021-06-09 16:57:54 UTC,,
3514,7458,2366,3,2021-06-09 17:01:30 UTC,2021-06-09 17:01:30 UTC,,
3515,8100,2366,4,2021-06-09 17:01:33 UTC,2021-06-09 17:01:33 UTC,,
3540,8112,2592,12,2021-06-21 19:08:05 UTC,2021-06-21 19:08:05 UTC,,
3541,8251,3017,1,2021-06-21 19:08:28 UTC,2021-06-21 19:08:28 UTC,,
3542,8265,2788,2,2021-06-21 19:12:14 UTC,2021-06-21 19:12:14 UTC,,
3543,8263,3026,1,2021-06-21 19:12:29 UTC,2021-06-21 19:12:29 UTC,,
3544,8222,2996,1,2021-06-21 19:12:40 UTC,2021-06-21 19:12:40 UTC,,
3555,8288,3043,1,2021-06-25 01:13:05 UTC,2021-06-25 01:13:05 UTC,,
3562,6615,2306,1,2021-06-28 12:34:28 UTC,2021-06-28 12:34:28 UTC,,
3564,8270,750,10,2021-06-28 12:35:07 UTC,2021-06-28 12:35:07 UTC,,
3567,8331,750,11,2021-06-29 16:44:02 UTC,2021-06-29 16:44:02 UTC,,
3577,8342,3067,1,2021-07-01 15:21:30 UTC,2021-07-01 15:21:30 UTC,,
3612,8368,3081,1,2021-07-08 09:48:33 UTC,2021-07-08 09:48:33 UTC,,
3615,8393,3094,1,2021-07-08 09:49:54 UTC,2021-07-08 09:49:54 UTC,,
3638,8111,2592,11,2021-07-15 01:00:47 UTC,2021-07-15 01:00:47 UTC,,
3639,8511,2592,15,2021-07-15 01:00:53 UTC,2021-07-15 01:00:53 UTC,,
3641,7405,2621,1,2021-07-15 01:06:41 UTC,2021-07-15 01:06:41 UTC,,
3642,8488,3108,4,2021-07-15 01:07:33 UTC,2021-07-15 01:07:33 UTC,,
3643,8415,3081,18,2021-07-15 01:12:04 UTC,2021-07-15 01:12:04 UTC,,
3644,8525,3146,5,2021-07-16 12:35:07 UTC,2021-07-16 12:35:07 UTC,,
3646,8526,3146,6,2021-07-16 17:11:53 UTC,2021-07-16 17:11:53 UTC,,
3652,8549,3182,1,2021-07-20 11:35:19 UTC,2021-07-20 11:35:19 UTC,,
3653,8532,3168,1,2021-07-20 11:35:44 UTC,2021-07-20 11:35:44 UTC,,
3640,8513,2592,16,2021-07-15 01:00:55 UTC,2021-07-15 01:00:55 UTC,2021-07-26 02:47:26 UTC,other
