"Date","Abbreviation","Expansions","Label","Group"
"Jan 1, 2022","","3","At the end of the god damned day.","Cliché Consequences"
"Jan 1, 2022","at the end of the day","1","At the end of the god damned day.","Extratext"
"Jan 1, 2022","at the end of the day","1","ultimately","Cliché Corrections"
"Jan 1, 2022","ole'","1","","Accented Words"
"Jan 2, 2022","aud","2","<audio> Element Embed","Extratext"
"Jan 2, 2022","gm3","1","Good Morning 3","Extratext"
"Jan 2, 2022","more","2","Read More Tag","Extratext"
"Jan 8, 2022","down","1","⇩","Extratext"
"Jan 8, 2022","gm2","2","Good Morning 2","Extratext"
"Jan 8, 2022","ole'","1","","Accented Words"
"Jan 8, 2022","ts","1","Timestamp in DavodTime","Extratext"
"Jan 8, 2022","up","1","⇧","Extratext"
"Jan 8, 2022","wget","1","wget","Extratext"
"Jan 9, 2022","","1","At the end of the god damned day.","Cliché Consequences"
"Jan 9, 2022","gm1","1","Good Morning 1","Extratext"
"Jan 9, 2022","gm2","2","Good Morning 2","Extratext"
"Jan 9, 2022","gm3","1","Good Morning 3","Extratext"
"Jan 9, 2022","opt","1","opt ⇨ ⌥","Extratext"
"Jan 9, 2022","right","1","⇨","Extratext"
"Jan 9, 2022","rs","9","Terminal Shortcuts CLI","Extratext"
"Jan 9, 2022","ts","3","Timestamp in DavodTime","Extratext"
"Jan 9, 2022","ttm","2","","Symbols"
"Jan 9, 2022","up","2","⇧","Extratext"
"Jan 10, 2022","biotxt","1","Bio in Rich Text","Extratext"
"Jan 10, 2022","mdbio","2","Biography","Extratext"
"Jan 10, 2022","opt","2","opt ⇨ ⌥","Extratext"
"Jan 10, 2022","rs","5","Terminal Shortcuts CLI","Extratext"
"Jan 10, 2022","tblstart","4","Start Markdown Table","Extratext"
"Jan 10, 2022","ts","2","Timestamp in DavodTime","Extratext"
"Jan 10, 2022","twt","1","Twitter","Extratext"
"Jan 10, 2022","up","2","⇧","Extratext"
"Jan 10, 2022","wget","1","wget","Extratext"
"Jan 10, 2022","wpget","1","wget for stuboorn WordPress sites.","Extratext"
"Jan 11, 2022","3ts","1","Timestamp in DavodTime + 3 hours","Extratext"
"Jan 11, 2022","cpq","1","COMPAQ CHURCH","Extratext"
"Jan 11, 2022","dine","2","Z-Ro’s statement of purpose - a longtime personal meme.","Extratext"
"Jan 11, 2022","e","1","Email","Extratext"
"Jan 11, 2022","rs","4","Terminal Shortcuts CLI","Extratext"
"Jan 11, 2022","tblstart","1","Start Markdown Table","Extratext"
"Jan 11, 2022","ts","4","Timestamp in DavodTime","Extratext"
"Jan 11, 2022","wget","1","wget","Extratext"
"Jan 12, 2022","as","1","Blog post string to edit page.","Extratext"
"Jan 12, 2022","aud","2","<audio> Element Embed","Extratext"
"Jan 12, 2022","dine","3","Z-Ro’s statement of purpose - a longtime personal meme.","Extratext"
"Jan 12, 2022","more","1","Read More Tag","Extratext"
"Jan 12, 2022","rs","7","Terminal Shortcuts CLI","Extratext"
"Jan 12, 2022","ts","1","Timestamp in DavodTime","Extratext"
"Jan 12, 2022","wget","4","wget","Extratext"
"Jan 12, 2022","wtf","1","Quick key for NeoCities-hosted TTS audio files.","Extratext"
"Jan 13, 2022","gm2","1","Good Morning 2","Extratext"
"Jan 13, 2022","invite","2","An invitation to join me in Social Web heaven.","Extratext"
"Jan 13, 2022","mute1","1","For bitching about audio interrupts on iOS.","Extratext"
"Jan 13, 2022","rs","1","Terminal Shortcuts CLI","Extratext"
"Jan 14, 2022","mdcontact","1","A list of essential social links in markdown.","Extratext"
"Jan 14, 2022","rs","1","Terminal Shortcuts CLI","Extratext"
"Jan 14, 2022","vcf","2","Contact Card Raw File Link","Extratext"
"Jan 15, 2022","3ts","3","Timestamp in DavodTime + 3 hours","Extratext"
"Jan 15, 2022","cassi","2","Root of Matthew Cassinelli’s Action Directory","Extratext"
"Jan 15, 2022","cliche","3","","Accented Words"
"Jan 15, 2022","colossus","2","“The New Colossus” by Emma Lazarus - used mostly as lorem ipsum.","Extratext"
"Jan 15, 2022","gm1","4","Good Morning 1","Extratext"
"Jan 15, 2022","gm2","1","Good Morning 2","Extratext"
"Jan 15, 2022","gm3","3","Good Morning 3","Extratext"
"Jan 15, 2022","isub","4","Terminal command to show Subject field in Messages on macOS.","Extratext"
"Jan 15, 2022","lmv","2","[DELETE THIS] Virtual 24 Hours of Le Mans Hashtag","Extratext"
"Jan 15, 2022","mdcontact","1","A list of essential social links in markdown.","Extratext"
"Jan 15, 2022","more","4","Read More Tag","Extratext"
"Jan 15, 2022","neocities","5","URL to the home dashboard view in the NeoCities backend.","Extratext"
"Jan 15, 2022","nomd","1","Social Links Plain","Extratext"
"Jan 15, 2022","repo","1","URL to The Psalms’ GitHub repository.","Extratext"
"Jan 15, 2022","right","6","⇨","Extratext"
"Jan 15, 2022","rs","9","Terminal Shortcuts CLI","Extratext"
"Jan 15, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Jan 15, 2022","telenum","4","Full Phone Number","Extratext"
"Jan 15, 2022","ts","10","Timestamp in DavodTime","Extratext"
"Jan 15, 2022","vcf","2","Contact Card Raw File Link","Extratext"
"Jan 15, 2022","vid","3","<video> Element Embed","Extratext"
"Jan 15, 2022","wget","3","wget","Extratext"
"Jan 15, 2022","winter","3","Links to “Dave’s Top Ten Winter Driving Tips” on YouTube.","Extratext"
"Jan 16, 2022",".md","3","em dash","HTML & CSS"
"Jan 16, 2022","as","1","Blog post string to edit page.","Extratext"
"Jan 16, 2022","cassi","2","Root of Matthew Cassinelli’s Action Directory","Extratext"
"Jan 16, 2022","ccopy","1","","Symbols"
"Jan 16, 2022","gm1","1","Good Morning 1","Extratext"
"Jan 16, 2022","gm3","2","Good Morning 3","Extratext"
"Jan 16, 2022","kill","1","Force quits the Shortcuts app - need to figure out a way to actually kill the *process*.","Extratext"
"Jan 16, 2022","mdcontact","1","A list of essential social links in markdown.","Extratext"
"Jan 16, 2022","ole'","1","","Accented Words"
"Jan 16, 2022","right","1","⇨","Extratext"
"Jan 16, 2022","rs","6","Terminal Shortcuts CLI","Extratext"
"Jan 16, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Jan 16, 2022","sleepnow","1","Immediately puts the mac display to sleep.","Extratext"
"Jan 16, 2022","telenum","2","Full Phone Number","Extratext"
"Jan 16, 2022","telmo","1","Columbia MO local Telegram Group Chat Prompt","Extratext"
"Jan 16, 2022","test","4","","Extratext"
"Jan 16, 2022","ts","6","Timestamp in DavodTime","Extratext"
"Jan 16, 2022","wget","1","wget","Extratext"
"Jan 17, 2022","as","1","Blog post string to edit page.","Extratext"
"Jan 17, 2022","e","6","Email","Extratext"
"Jan 17, 2022","right","1","⇨","Extratext"
"Jan 17, 2022","rs","3","Terminal Shortcuts CLI","Extratext"
"Jan 17, 2022","ts","5","Timestamp in DavodTime","Extratext"
"Jan 17, 2022","warning","1","Bubble warning","Extratext"
"Jan 17, 2022","wget","2","wget","Extratext"
"Jan 18, 2022","$htmlenc","1","HTML Encode [Fill In] (JS)","Thought Asylum - Web"
"Jan 18, 2022","$htmlpage","1","HTML Basic Page Template","Thought Asylum - Web"
"Jan 18, 2022",",,c","2","","NATO Phonetic Alphabet"
"Jan 18, 2022","1line","1","Take multiple lines of text on the clipboard and merge to a single line.","Extratext"
"Jan 18, 2022","STMDUL","1","Browser Tab List - Safari (AS)","Extratext"
"Jan 18, 2022","curl","2","Current Chrome url","Brett's Tools"
"Jan 18, 2022","e","1","Email","Extratext"
"Jan 18, 2022","gm3","1","Good Morning 3","Extratext"
"Jan 18, 2022","rs","2","Terminal Shortcuts CLI","Extratext"
"Jan 18, 2022","table","1","","Extratext"
"Jan 18, 2022","tblstart","2","Start Markdown Table","Extratext"
"Jan 18, 2022","tel@","1","Telegram @ to URL","Extratext"
"Jan 18, 2022","ts","6","Timestamp in DavodTime","Extratext"
"Jan 18, 2022","ttab","1","Tab Character","Thought Asylum - Symbols"
"Jan 18, 2022","wget","1","wget","Extratext"
"Jan 18, 2022","wtf","1","WTF domain","Extratext"
"Jan 19, 2022","colossus","2","“The New Colossus” by Emma Lazarus - used mostly as lorem ipsum.","Extratext"
"Jan 19, 2022","davodtime","2","Print DavodTime™  format meta (mostly used for Calendar actions in Siri Shortcuts.)","Extratext"
"Jan 19, 2022","dine","3","Z-Ro’s statement of purpose - a longtime personal meme.","Extratext"
"Jan 19, 2022","idbreak","1","Breakcore Pagans group chat id.","Telegram"
"Jan 19, 2022","moyai","1","","Extratext"
"Jan 19, 2022","telmo","1","Columbia MO local Telegram Group Chat Prompt","Extratext"
"Jan 19, 2022","ts","4","Timestamp in DavodTime","Extratext"
"Jan 20, 2022",".neocities","1","Keeping track of my absurd number of NeoCities sites.","Extratext"
"Jan 20, 2022","colossus","1","“The New Colossus” by Emma Lazarus - used mostly as lorem ipsum.","Extratext"
"Jan 20, 2022","davodtime","1","Print DavodTime™  format meta (mostly used for Calendar actions in Siri Shortcuts.)","Extratext"
"Jan 20, 2022","gauto","14","GitHub Autolinks to external GitHub Issues.","Extratext"
"Jan 20, 2022","repo","2","URL to The Psalms’ GitHub repository.","Extratext"
"Jan 20, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Jan 20, 2022","table","1","","Extratext"
"Jan 20, 2022","tauto","4","GitHub Autolinks to Telegram messages.","Extratext"
"Jan 20, 2022","ts","3","Timestamp in DavodTime","Extratext"
"Jan 20, 2022","vid","1","<video> Element Embed","Extratext"
"Jan 20, 2022","wget","3","wget","Extratext"
"Jan 21, 2022","colossus","1","“The New Colossus” by Emma Lazarus - used mostly as lorem ipsum.","Extratext"
"Jan 21, 2022","dbe1","2","Boiler plate account fields when signing up for just about anything. I expect variations.","Extratext"
"Jan 24, 2022","mdcontact","1","A list of essential social links in markdown.","Extratext"
"Jan 24, 2022","ts","2","Timestamp in DavodTime","Extratext"
"Jan 25, 2022","aud","3","<audio> Element Embed","Extratext"
"Jan 25, 2022","davodtime","1","Print DavodTime™  format meta (mostly used for Calendar actions in Siri Shortcuts.)","Extratext"
"Jan 25, 2022","gm1","1","Good Morning 1","Extratext"
"Jan 25, 2022","gm3","1","Good Morning 3","Extratext"
"Jan 25, 2022","idbreak","2","Breakcore Pagans group chat id.","Telegram"
"Jan 25, 2022","idco","5","@ColumbiaMO’s chat id.","Telegram"
"Jan 25, 2022","left","2","⇦","Extratext"
"Jan 25, 2022","neocities","5","URL to the home dashboard view in the NeoCities backend.","Extratext"
"Jan 25, 2022","public","1","Response to warnings about my phone number/email address/location appearing in publicly-facing results.","Extratext"
"Jan 25, 2022","right","2","⇨","Extratext"
"Jan 25, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Jan 25, 2022","telenum","8","Full Phone Number","Extratext"
"Jan 25, 2022","ts","3","Timestamp in DavodTime","Extratext"
"Jan 25, 2022","up","3","⇧","Extratext"
"Jan 25, 2022","valid","2","Validate URL","Extratext"
"Jan 25, 2022","werent ","1","","Contractions - English (US)"
"Jan 26, 2022","colossus","1","“The New Colossus” by Emma Lazarus - used mostly as lorem ipsum.","Extratext"
"Jan 26, 2022","dine","2","Z-Ro’s statement of purpose - a longtime personal meme.","Extratext"
"Jan 26, 2022","idbreak","1","Breakcore Pagans group chat id.","Telegram"
"Jan 26, 2022","idco","1","@ColumbiaMO’s chat id.","Telegram"
"Jan 26, 2022","kbdt","2","Keyboard Shortcut Text","Test"
"Jan 26, 2022","rs","3","Terminal Shortcuts CLI","Extratext"
"Jan 26, 2022","tbutton","2","Rose ButtonURLs.","Telegram"
"Jan 26, 2022","ts","2","Timestamp in DavodTime","Extratext"
"Jan 26, 2022","up","1","⇧","Extratext"
"Jan 26, 2022","writeas","12","","Extratext"
"Jan 27, 2022","telenum","4","Full Phone Number","Extratext"
"Jan 27, 2022","ts","4","Timestamp in DavodTime","Extratext"
"Jan 27, 2022","wget","3","wget","Extratext"
"Jan 28, 2022","colossus","1","“The New Colossus” by Emma Lazarus - used mostly as lorem ipsum.","Extratext"
"Jan 28, 2022","dine","1","Z-Ro’s statement of purpose - a longtime personal meme.","Extratext"
"Jan 28, 2022","idbreak","1","Breakcore Pagans group chat id.","Telegram"
"Jan 28, 2022","pith","1","Blimp’s Burden, Chapter VI.","Extratext"
"Jan 28, 2022","ts","1","Timestamp in DavodTime","Extratext"
"Feb 1, 2022","colossus","1","“The New Colossus” by Emma Lazarus - used mostly as lorem ipsum.","Extratext"
"Feb 1, 2022","igit","2","URL to my iOS-specific GitHub Repo.","Extratext"
"Feb 1, 2022","mdcontact","1","A list of essential social links in markdown.","Extratext"
"Feb 1, 2022","pith","1","Blimp’s Burden, Chapter VI.","Extratext"
"Feb 1, 2022","right","2","⇨","Extratext"
"Feb 1, 2022","rs","1","Terminal Shortcuts CLI","Extratext"
"Feb 1, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Feb 1, 2022","~","1","Tilde.Town profile.","Extratext"
"Feb 2, 2022","as","1","Blog post string to edit page.","Extratext"
"Feb 2, 2022","aud","1","<audio> Element Embed","Extratext"
"Feb 2, 2022","bilge","1","Canonical URL of a blog post string.","Extratext"
"Feb 2, 2022","colossus","1","“The New Colossus” by Emma Lazarus - used mostly as lorem ipsum.","Extratext"
"Feb 2, 2022","extras","2","URL to “Telegram Extras” on The Psalms.","Telegram"
"Feb 2, 2022","hi","2","Columbia MO local Telegram Group Chat Prompt","Telegram"
"Feb 2, 2022","idbreak","3","Breakcore Pagans group chat id.","Telegram"
"Feb 2, 2022","idco","3","@ColumbiaMO’s chat id.","Telegram"
"Feb 2, 2022","igit","1","URL to my iOS-specific GitHub Repo.","Extratext"
"Feb 2, 2022","issue","2","Construct a URL to a GitHub Issue.","Extratext"
"Feb 2, 2022","odette","1","Odette Repo","Extratext"
"Feb 2, 2022","pixelfed","1","URL to my PixelFed profile.","Extratext"
"Feb 2, 2022","psalmstr","1","URL to “Text Replacement” on The Psalms.","Extratext"
"Feb 2, 2022","rs","2","Terminal Shortcuts CLI","Extratext"
"Feb 2, 2022","share","1","Shared URL of this snippet group (Extratext.)","Extratext"
"Feb 2, 2022","shortcc","2","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Feb 2, 2022","snap","1","URL to my Snapchat profile.","Extratext"
"Feb 2, 2022","sys","4","Convert iOS System Sounds link (from repo) to base64 link.","Extratext"
"Feb 2, 2022","tot#","1","Applescript to return the contents of a Tot specified by number (1-7.)","Tot"
"Feb 2, 2022","tot1","2","Applescript to return the contents of The First Tot.","Tot"
"Feb 2, 2022","tot1","1","Applescript to return the contents of The Seventh Tot.","Extratext"
"Feb 2, 2022","tot2","1","Applescript to return the contents of The Second Tot.","Tot"
"Feb 2, 2022","tot2","1","Applescript to return the contents of The Seventh Tot.","Extratext"
"Feb 2, 2022","tot3","1","Applescript to return the contents of The Seventh Tot.","Extratext"
"Feb 2, 2022","tot3","1","Applescript to return the contents of The Third Tot.","Tot"
"Feb 2, 2022","tot4","1","Applescript to return the contents of The Seventh Tot.","Extratext"
"Feb 2, 2022","tot4","2","Applescript to return the contents of The Fourth Tot.","Tot"
"Feb 2, 2022","tot5","1","Applescript to return the contents of The Fifth Tot.","Tot"
"Feb 2, 2022","tot5","3","Applescript to return the contents of The Seventh Tot.","Extratext"
"Feb 2, 2022","tot6","1","Applescript to return the contents of The Seventh Tot.","Extratext"
"Feb 2, 2022","tot6","2","Applescript to return the contents of The Sixth Tot.","Tot"
"Feb 2, 2022","tot7","2","Applescript to return the contents of The Seventh Tot.","Tot"
"Feb 2, 2022","tot7","2","Applescript to return the contents of The Seventh Tot.","Extratext"
"Feb 2, 2022","tr","1","URL to the GitHub Gist for my Text Replacement menu.","Extratext"
"Feb 2, 2022","ts","13","Timestamp in DavodTime","Extratext"
"Feb 2, 2022","wget","3","wget","Extratext"
"Feb 2, 2022","wtf","5","WTF domain","Extratext"
"Feb 2, 2022","~","1","Tilde.Town profile.","Extratext"
"Feb 3, 2022","15","2","URL to “iOS 15 Reviewed for My Family” on The Psalms.","Extratext"
"Feb 3, 2022","as","1","Blog post string to edit page.","Extratext"
"Feb 3, 2022","colossus","1","“The New Colossus” by Emma Lazarus - used mostly as lorem ipsum.","Extratext"
"Feb 3, 2022","friends","1","URL to my private Friends list on Twitter.","Extratext"
"Feb 3, 2022","igit","1","URL to my iOS-specific GitHub Repo.","Extratext"
"Feb 3, 2022","issue","3","Construct a URL to a GitHub Issue.","Extratext"
"Feb 3, 2022","neoad","1","URL to my NeoCities Action Group in the Drafts Action Directory.","Extratext"
"Feb 3, 2022","neocities","1","URL to the home dashboard view in the NeoCities backend.","Extratext"
"Feb 3, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Feb 3, 2022","rs","1","Terminal Shortcuts CLI","Extratext"
"Feb 3, 2022","tot1","2","Applescript to return the contents of The First Tot.","Tot"
"Feb 3, 2022","tot2","1","Applescript to return the contents of The Second Tot.","Tot"
"Feb 3, 2022","tot3","1","Applescript to return the contents of The Third Tot.","Tot"
"Feb 3, 2022","tot4","1","Applescript to return the contents of The Fourth Tot.","Tot"
"Feb 3, 2022","tot5","1","Applescript to return the contents of The Fifth Tot.","Tot"
"Feb 3, 2022","tot6","1","Applescript to return the contents of The Sixth Tot.","Tot"
"Feb 3, 2022","tot7","1","Applescript to return the contents of The Seventh Tot.","Tot"
"Feb 3, 2022","tr","2","URL to the GitHub Gist for my Text Replacement menu.","Extratext"
"Feb 3, 2022","ts","6","Timestamp in DavodTime","Extratext"
"Feb 3, 2022","wtf","2","WTF domain","Extratext"
"Feb 3, 2022","~","1","Tilde.Town profile.","Extratext"
"Feb 5, 2022","as","1","Blog post string to edit page.","Extratext"
"Feb 5, 2022","bilge","1","Canonical URL of a blog post string.","Extratext"
"Feb 5, 2022","bio","1","Professional bio.","Practice"
"Feb 5, 2022","gm2","1","Good Morning 2","Extratext"
"Feb 5, 2022","gm3","1","Good Morning 3","Extratext"
"Feb 5, 2022","macdrafts","1","URL to Drafts for macOS on the App Store.","Extratext"
"Feb 5, 2022","morn","2","","Practice"
"Feb 5, 2022","num","1","Clipboard to numbered list.","Extratext"
"Feb 5, 2022","psalmstr","3","URL to “Text Replacement” on The Psalms.","Extratext"
"Feb 5, 2022","public","1","Response to warnings about my phone number/email address/location appearing in publicly-facing results.","Extratext"
"Feb 5, 2022","scrubs","3","URL to the Gist for my Siri Shortcuts for Scrubs list.","Extratext"
"Feb 5, 2022","telenum","1","Full Phone Number","Extratext"
"Feb 5, 2022","tot1","1","Applescript to return the contents of The First Tot.","Tot"
"Feb 5, 2022","tot2","1","Applescript to return the contents of The Second Tot.","Tot"
"Feb 5, 2022","tot3","1","Applescript to return the contents of The Third Tot.","Tot"
"Feb 5, 2022","tot4","1","Applescript to return the contents of The Fourth Tot.","Tot"
"Feb 5, 2022","tot5","1","Applescript to return the contents of The Fifth Tot.","Tot"
"Feb 5, 2022","tot6","1","Applescript to return the contents of The Sixth Tot.","Tot"
"Feb 5, 2022","tot7","1","Applescript to return the contents of The Seventh Tot.","Tot"
"Feb 5, 2022","tr","1","URL to the GitHub Gist for my Text Replacement menu.","Extratext"
"Feb 5, 2022","ts","1","Timestamp in DavodTime","Extratext"
"Feb 5, 2022","vcf","1","Contact Card Raw File Link","Extratext"
"Feb 5, 2022","wcli","1","URL to the GitHub Repository for the Write.as Command Line Interface.","Extratext"
"Feb 5, 2022","wli1","1","We Live in a Time","Text Fuck"
"Feb 5, 2022","wshort","1","URL to my "Post to Write.as Blog (macOS)” shortcut on RoutineHub.","Extratext"
"Feb 7, 2022","comment","2","Comment tag for Remark.as.","Extratext"
"Feb 7, 2022","gero","1","URL to my music-listening Raindrop collection.","Extratext"
"Feb 7, 2022","issue","2","Construct a URL to a GitHub Issue.","Extratext"
"Feb 7, 2022","mdbio","4","Biography","Extratext"
"Feb 7, 2022","reading","2","URL to my Reading List Raindrop collection.","Extratext"
"Feb 7, 2022","remark","1","URL to my Remark.as profiile.","Extratext"
"Feb 7, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Feb 7, 2022","scrubs","1","URL to the Gist for my Siri Shortcuts for Scrubs list.","Extratext"
"Feb 7, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Feb 7, 2022","tot7","2","Applescript to return the contents of The Seventh Tot.","Tot"
"Feb 8, 2022","as","1","Blog post string to edit page.","Extratext"
"Feb 8, 2022","bilge","2","Canonical URL of a blog post string.","Extratext"
"Feb 8, 2022","idbreak","1","Breakcore Pagans group chat id.","Telegram"
"Feb 8, 2022","idco","1","@ColumbiaMO’s chat id.","Telegram"
"Feb 8, 2022","issue","1","Construct a URL to a GitHub Issue.","Extratext"
"Feb 8, 2022","linking","1","URL to The Ubiquitous Linking Manifesto. ","Extratext"
"Feb 8, 2022","more","1","Read More Tag","Extratext"
"Feb 8, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Feb 8, 2022","sys","1","Convert iOS System Sounds link (from repo) to base64 link.","Extratext"
"Feb 8, 2022","twt","1","Twitter","Extratext"
"Feb 8, 2022","wget","1","wget","Extratext"
"Feb 9, 2022","backtap","1","URL to "Use Back Tap on your iPhone” Apple documentation.","Extratext"
"Feb 9, 2022","cut","1","Construct a Shortcuts Run Link. ","Extratext"
"Feb 9, 2022","gm3","1","Good Morning 3","Text Fuck"
"Feb 9, 2022","hi","1","Columbia MO local Telegram Group Chat Prompt","Telegram"
"Feb 9, 2022","idbreak","1","Breakcore Pagans group chat id.","Telegram"
"Feb 9, 2022","idco","1","@ColumbiaMO’s chat id.","Telegram"
"Feb 9, 2022","issue","2","Construct a URL to a GitHub Issue.","Extratext"
"Feb 9, 2022","rh","2","Url to my RoutineHub profile.","Extratext"
"Feb 9, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Feb 9, 2022","ts","6","Timestamp in DavodTime","Extratext"
"Feb 9, 2022","wikiindex","1","Open The Psalms’ Wiki on GitHub.","Extratext"
"Feb 9, 2022","~","1","Tilde.Town profile.","Extratext"
"Feb 12, 2022","cut","2","Construct a Shortcuts Run Link. ","Extratext"
"Feb 12, 2022","ddpsalms","1","URL to “The Psalms” theme in the Drafts Action Directory.","Extratext"
"Feb 12, 2022","drafts","1","URL of Drafts on The Psalms’ GitHub repository.","Extratext"
"Feb 12, 2022","greyhound","1","URL to my Greyhound Drafts theme in the Drafts Directory.","Extratext"
"Feb 12, 2022","io","2","Construct a URL to my various GitHub Pages… Pages.","Extratext"
"Feb 12, 2022","issue","7","Construct a URL to a GitHub Issue.","Extratext"
"Feb 12, 2022","mdcontact","1","A list of essential social links in markdown.","Extratext"
"Feb 12, 2022","reddit","1","URL to my profile on Reddit.","Extratext"
"Feb 12, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Feb 12, 2022","rs","1","Terminal Shortcuts CLI","Extratext"
"Feb 12, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Feb 12, 2022","twt","3","Twitter","Extratext"
"Feb 12, 2022","wget","1","wget","Extratext"
"Feb 13, 2022","aech","1","h","Text Fuck"
"Feb 13, 2022","as","1","Blog post string to edit page.","Extratext"
"Feb 13, 2022","aud","1","<audio> Element Embed","Extratext"
"Feb 13, 2022","aviary","1","App Store share URL for Aviary for iOS.","Extratext"
"Feb 13, 2022","cant ","1","","Contractions - English (US)"
