"Date","Abbreviation","Expansions","Label","Group"
"Feb 13, 2022","cassi","2","Root of Matthew Cassinelli’s Action Directory","Extratext"
"Feb 13, 2022","cut","2","Construct a Shortcuts Run Link. ","Extratext"
"Feb 13, 2022","ddmasto","3","URL to the “Post to Mastodon” action in the Drafts directory.","Extratext"
"Feb 13, 2022","ddthemes","1","URL to the Drafts themes directory, ordered by most recent.","Extratext"
"Feb 13, 2022","ddzalgo","4","URL to zalgo drafts action.","Extratext"
"Feb 13, 2022","idbreak","1","Breakcore Pagans group chat id.","Telegram"
"Feb 13, 2022","idco","2","@ColumbiaMO’s chat id.","Telegram"
"Feb 13, 2022","import","1","URL to Import page in Raindrop.","Extratext"
"Feb 13, 2022","int","2","Interrobang‽‽‽ ","Extratext"
"Feb 13, 2022","io","2","Construct a URL to my various GitHub Pages… Pages.","Extratext"
"Feb 13, 2022","issue","6","Construct a URL to a GitHub Issue.","Extratext"
"Feb 13, 2022","itext","1","URL to Brett Terpstra’s “iTextEditors” wiki.","Extratext"
"Feb 13, 2022","kill","1","Force quits the Shortcuts app - need to figure out a way to actually kill the *process*.","Extratext"
"Feb 13, 2022","mdcontact","2","A list of essential social links in markdown.","Extratext"
"Feb 13, 2022","more","1","Read More Tag","Extratext"
"Feb 13, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Feb 13, 2022","rs","1","Terminal Shortcuts CLI","Extratext"
"Feb 13, 2022","share","1","Shared URL of this snippet group (Extratext.)","Extratext"
"Feb 13, 2022","shihab","2","App Store Market Tools Developer URL for Shihab Meboob.","Extratext"
"Feb 13, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Feb 13, 2022","shorttwt","1","URL to the Siri Shortcuts community on Twitter.","Extratext"
"Feb 13, 2022","sys","1","Convert iOS System Sounds link (from repo) to base64 link.","Extratext"
"Feb 13, 2022","tbutton","2","Rose ButtonURLs.","Telegram"
"Feb 13, 2022","ts","3","Timestamp in DavodTime","Extratext"
"Feb 13, 2022","twt","6","Twitter","Extratext"
"Feb 13, 2022","wget","2","wget","Extratext"
"Feb 13, 2022","wikiindex","1","Open The Psalms’ Wiki on GitHub.","Extratext"
"Feb 13, 2022","wtf","3","WTF domain","Extratext"
"Feb 14, 2022",".runipa","1","Run Get IP Address (All)","Thought Asylum - Shell Commands"
"Feb 14, 2022","actions","1","App Store share URL for Actions by Sindre Sorhus.","Extratext"
"Feb 14, 2022","aviary","1","App Store share URL for Aviary for iOS.","Extratext"
"Feb 14, 2022","cut","1","Construct a Shortcuts Run Link. ","Extratext"
"Feb 14, 2022","desc","1","Video streaming service description template - the contact links and decorative matter.","Extratext"
"Feb 14, 2022","dine","1","Z-Ro’s statement of purpose - a longtime personal meme.","Extratext"
"Feb 14, 2022","drynet","1","URL to the Drywall Website Archive on NeoCities","Extratext"
"Feb 14, 2022","fuckshare","1","URL to share this Snippet Group","Text Fuck"
"Feb 14, 2022","idbreak","1","Breakcore Pagans group chat id.","Telegram"
"Feb 14, 2022","ihadt","2","URL to the Drywall Twitter account.","Extratext"
"Feb 14, 2022","invite","1","An invitation to join me in Social Web heaven.","Extratext"
"Feb 14, 2022","issue","2","Construct a URL to a GitHub Issue.","Extratext"
"Feb 14, 2022","jail","3","URL to "The Fastest Route to Twitter Jail” on The Psalms.","Extratext"
"Feb 14, 2022","jar","1","URL to Data Jar for iOS.","Extratext"
"Feb 14, 2022","kill","2","Force quits the Shortcuts app - need to figure out a way to actually kill the *process*.","Extratext"
"Feb 14, 2022","more","1","Read More Tag","Extratext"
"Feb 14, 2022","rs","2","Terminal Shortcuts CLI","Extratext"
"Feb 14, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Feb 14, 2022","sys","1","Get System Information (BASH)","Test"
"Feb 14, 2022","tb6","1","URL to my “Tweetbot 6 for iOS Review” on The Psalms.","Extratext"
"Feb 14, 2022","test","1","URL to the UUID-specified link to my Test draft export.","Extratext"
"Feb 14, 2022","ts","2","Timestamp in DavodTime","Extratext"
"Feb 14, 2022","tweetbot","1","URL to Tweetbot on the App Store.","Extratext"
"Feb 14, 2022","twt","2","Twitter","Extratext"
"Feb 14, 2022","wikiindex","1","Open The Psalms’ Wiki on GitHub.","Extratext"
"Feb 14, 2022","wouldnt ","1","","Contractions - English (US)"
"Feb 15, 2022","bilge","1","Canonical URL of a blog post string.","Extratext"
"Feb 15, 2022","idbreak","1","Breakcore Pagans group chat id.","Telegram"
"Feb 15, 2022","idco","2","@ColumbiaMO’s chat id.","Telegram"
"Feb 15, 2022","issue","3","Construct a URL to a GitHub Issue.","Extratext"
"Feb 15, 2022","more","1","Read More Tag","Extratext"
"Feb 15, 2022","rh","2","Url to my RoutineHub profile.","Extratext"
"Feb 15, 2022","rs","2","Terminal Shortcuts CLI","Extratext"
"Feb 15, 2022","shortcc","2","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Feb 15, 2022","wtf","1","WTF domain","Extratext"
"Feb 16, 2022","hi","1","Columbia MO local Telegram Group Chat Prompt","Telegram"
"Feb 20, 2022","colossus","1","“The New Colossus” by Emma Lazarus - used mostly as lorem ipsum.","Extratext"
"Feb 20, 2022","ddiowa","1","URL to my “Windows Iowa” dark theme in the Drafts Directory.","Extratext"
"Feb 20, 2022","ddpsalms","2","URL to “The Psalms” theme in the Drafts Action Directory.","Extratext"
"Feb 20, 2022","ddthemes","2","URL to the Drafts themes directory, ordered by most recent.","Extratext"
"Feb 20, 2022","dine","1","Z-Ro’s statement of purpose - a longtime personal meme.","Extratext"
"Feb 20, 2022","drybirt","1","Drywall Birthday","Extratext"
"Feb 20, 2022","issue","1","Construct a URL to a GitHub Issue.","Extratext"
"Feb 20, 2022","line","2","Create a three-dash horizontal line.","Extratext"
"Feb 20, 2022","macdrafts","1","URL to Drafts for macOS on the App Store.","Extratext"
"Feb 20, 2022","more","1","Read More Tag","Extratext"
"Feb 20, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Feb 20, 2022","rs","1","Terminal Shortcuts CLI","Extratext"
"Feb 20, 2022","shell","1","Construct Blink Shell URL scheme.","Extratext"
"Feb 20, 2022","tb6","1","URL to my “Tweetbot 6 for iOS Review” on The Psalms.","Extratext"
"Feb 20, 2022","twt","1","Twitter","Extratext"
"Feb 20, 2022","~","1","Tilde.Town profile.","Extratext"
"Feb 21, 2022","issue","2","Construct a URL to a GitHub Issue.","Extratext"
"Feb 21, 2022","kill","1","Force quits the Shortcuts app - need to figure out a way to actually kill the *process*.","Extratext"
"Feb 21, 2022","line","1","Create a three-dash horizontal line.","Extratext"
"Feb 21, 2022","mdcontact","1","A list of essential social links in markdown.","Extratext"
"Feb 21, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Feb 21, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Feb 21, 2022","shorttwt","2","URL to the Siri Shortcuts community on Twitter.","Extratext"
"Feb 21, 2022","textcase","2","App Store share URL for Christopher R. Hannah’s Text Case","Extratext"
"Feb 21, 2022","ts","1","Timestamp in DavodTime","Extratext"
"Feb 21, 2022","twt","1","Twitter","Extratext"
"Feb 21, 2022","wget","6","wget","Extratext"
"Feb 21, 2022","~","1","Tilde.Town profile.","Extratext"
"Mar 5, 2022","line","1","Create a three-dash horizontal line.","Extratext"
"Mar 10, 2022","shorttwt","1","URL to the Siri Shortcuts community on Twitter.","Extratext"
"Mar 10, 2022","ts","1","Timestamp in DavodTime","Extratext"
"Mar 14, 2022","bandcamp","1","Bandcamp - Streaming’s Secret Savior","Extratext"
"Mar 14, 2022","bear","1","URL to Bear on the App Store.","Extratext"
"Mar 14, 2022","gm2","1","Good Morning 2","Text Fuck"
"Mar 14, 2022","hourology","1","App Store share URL for Hourology for iOS.","Extratext"
"Mar 14, 2022","ilookup","1","App Store share URL for LookUp for iOS.","Extratext"
"Mar 14, 2022","imusic","1","URL to “iPhone and Music” on The Psalms.","Extratext"
"Mar 14, 2022","itrimmer","1","App Store share URL to Audio Trimmer for iOS.","Extratext"
"Mar 14, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Mar 14, 2022","tb6","1","URL to my “Tweetbot 6 for iOS Review” on The Psalms.","Extratext"
"Mar 14, 2022","tweetbot","2","URL to Tweetbot on the App Store.","Extratext"
"Mar 14, 2022","~","1","Tilde.Town profile.","Extratext"
"Mar 15, 2022","cut","3","Construct a Shortcuts Run Link. ","Extratext"
"Mar 15, 2022","img","4","Construct a markdown image link.","Extratext"
"Mar 15, 2022","kill","1","Force quits the Shortcuts app - need to figure out a way to actually kill the *process*.","Extratext"
"Mar 15, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Mar 15, 2022","rs","1","Terminal Shortcuts CLI","Extratext"
"Mar 15, 2022","totpocket","1","App Store share URL for Tot Pocket for iOS.","Extratext"
"Mar 15, 2022","ts","1","Timestamp in DavodTime","Extratext"
"Mar 15, 2022","twt","1","Twitter","Extratext"
"Mar 15, 2022","wtf","1","WTF domain","Extratext"
"Mar 15, 2022","~","2","Tilde.Town profile.","Extratext"
"Mar 16, 2022","bilge","1","Canonical URL of a blog post string.","Extratext"
"Mar 16, 2022","colossus","1","“The New Colossus” by Emma Lazarus - used mostly as lorem ipsum.","Extratext"
"Mar 16, 2022","cut","2","Construct a Shortcuts Run Link. ","Extratext"
"Mar 16, 2022","io","1","Construct a GitHub Pages link for my GitHub account.","Extratext"
"Mar 16, 2022","line","1","Create a three-dash horizontal line.","Extratext"
"Mar 16, 2022","mdbio","2","Biography","Extratext"
"Mar 16, 2022","opt","2","opt ⇨ ⌥","Extratext"
"Mar 16, 2022","rs","2","Terminal Shortcuts CLI","Extratext"
"Mar 16, 2022","totpocket","1","App Store share URL for Tot Pocket for iOS.","Extratext"
"Mar 16, 2022","up","4","⇧","Extratext"
"Mar 17, 2022","rs","1","Terminal Shortcuts CLI","Extratext"
"Mar 18, 2022","import","1","URL to Import page in Raindrop.","Extratext"
"Mar 18, 2022","int","1","Interrobang‽‽‽ ","Extratext"
"Mar 18, 2022","rs","2","Terminal Shortcuts CLI","Extratext"
"Mar 18, 2022","ts","2","Timestamp in DavodTime","Extratext"
"Mar 19, 2022","aud","2","<audio> Element Embed","Extratext"
"Mar 19, 2022","bilge","3","Canonical URL of a blog post string.","Extratext"
"Mar 19, 2022","cut","3","Construct a Shortcuts Run Link. ","Extratext"
"Mar 19, 2022","issue","2","Construct a URL to a GitHub Issue.","Extratext"
"Mar 19, 2022","join","1","The master joinmastodon.org URL.","Extratext"
"Mar 19, 2022","kill","2","Force quits the Shortcuts app - need to figure out a way to actually kill the *process*.","Extratext"
"Mar 19, 2022","mdbio","2","Biography","Extratext"
"Mar 19, 2022","minecraft","1","URL to “Minecraft Flying Tutorial."","Extratext"
"Mar 19, 2022","notifications","1","URL to open directly to Twitter notifications in the desktop app.","Extratext"
"Mar 19, 2022","rh","3","Url to my RoutineHub profile.","Extratext"
"Mar 19, 2022","rs","6","Terminal Shortcuts CLI","Extratext"
"Mar 19, 2022","telenum","1","Full Phone Number","Extratext"
"Mar 19, 2022","ts","8","Timestamp in DavodTime","Extratext"
"Mar 19, 2022","tube","2","Construct a YouTube URL.","Extratext"
"Mar 19, 2022","~","2","Tilde.Town profile.","Extratext"
"Mar 20, 2022","4","1","URL to my fourth improv album on bandcamp.","Extratext"
"Mar 20, 2022","apple","1","URL to my Apple Music profile.","Extratext"
"Mar 20, 2022","bandcamp","1","Bandcamp - Streaming’s Secret Savior","Extratext"
"Mar 20, 2022","bilge","2","Canonical URL of a blog post string.","Extratext"
"Mar 20, 2022","cant ","1","","Contractions - English (US)"
"Mar 20, 2022","kill","2","Force quits the Shortcuts app - need to figure out a way to actually kill the *process*.","Extratext"
"Mar 20, 2022","manpage","2","Construct a shell command to show a man page in Preview.","Extratext"
"Mar 20, 2022","notifications","1","URL to open directly to Twitter notifications in the desktop app.","Extratext"
"Mar 20, 2022","pith","4","Blimp’s Burden, Chapter VI.","Extratext"
"Mar 20, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Mar 20, 2022","rs","2","Terminal Shortcuts CLI","Extratext"
"Mar 20, 2022","soundcloud","1","URL to my profile on SoundCloud.","Extratext"
"Mar 20, 2022","ts","6","Timestamp in DavodTime","Extratext"
"Mar 20, 2022","vcf","1","Contact Card Raw File Link","Extratext"
"Mar 20, 2022","wget","4","wget","Extratext"
"Mar 20, 2022","youre ","1","","Contractions - English (US)"
"Mar 21, 2022","bilge","2","Canonical URL of a blog post string.","Extratext"
"Mar 21, 2022","cut","1","Construct a Shortcuts Run Link. ","Extratext"
"Mar 21, 2022","ddthemes","1","URL to the Drafts themes directory, ordered by most recent.","Extratext"
"Mar 21, 2022","dine","1","Z-Ro’s statement of purpose - a longtime personal meme.","Extratext"
"Mar 21, 2022","doesnt ","1","","Contractions - English (US)"
"Mar 21, 2022","gm2","1","Good Morning 2","Text Fuck"
"Mar 21, 2022","hi","2","Columbia MO local Telegram Group Chat Prompt","Telegram"
"Mar 21, 2022","int","1","Interrobang‽‽‽ ","Extratext"
"Mar 21, 2022","jar","1","URL to Data Jar for iOS.","Extratext"
"Mar 21, 2022","join","1","The master joinmastodon.org URL.","Extratext"
"Mar 21, 2022","kill","1","Force quits the Shortcuts app - need to figure out a way to actually kill the *process*.","Extratext"
"Mar 21, 2022","manpage","1","Construct a shell command to show a man page in Preview.","Extratext"
"Mar 21, 2022","moyai","1","","Extratext"
"Mar 21, 2022","notifications","2","URL to open directly to Twitter notifications in the desktop app.","Extratext"
"Mar 21, 2022","reboot","1","Terminal command to reboot macOS.","Extratext"
"Mar 21, 2022","rh","2","Url to my RoutineHub profile.","Extratext"
"Mar 21, 2022","shortcc","2","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Mar 21, 2022","shorttwt","1","URL to the Siri Shortcuts community on Twitter.","Extratext"
"Mar 21, 2022","totshare","1","Share the URL to my Tot-specific snippet group.","Extratext"
"Mar 21, 2022","ts","7","Timestamp in DavodTime","Extratext"
"Mar 21, 2022","twt","1","Twitter","Extratext"
"Mar 21, 2022","txt+","2","Merge all .txt files in directory using Pandoc.","Extratext"
"Mar 21, 2022","youd ","1","","Contractions - English (US)"
"Mar 21, 2022","~","3","Tilde.Town profile.","Extratext"
"Mar 22, 2022","aud","2","<audio> Element Embed","Extratext"
"Mar 22, 2022","cut","1","Construct a Shortcuts Run Link. ","Extratext"
"Mar 22, 2022","gm2","2","Good Morning 2","Text Fuck"
"Mar 22, 2022","import","2","URL to Import page in Raindrop.","Extratext"
"Mar 22, 2022","int","1","Interrobang‽‽‽ ","Extratext"
"Mar 22, 2022","io","5","Construct a GitHub Pages link for my GitHub account.","Extratext"
"Mar 22, 2022","issue","4","Construct a URL to a GitHub Issue.","Extratext"
"Mar 22, 2022","itd ","1","","Contractions - English (US)"
"Mar 22, 2022","kill","1","Force quits the Shortcuts app - need to figure out a way to actually kill the *process*.","Extratext"
"Mar 22, 2022","line","1","Create a three-dash horizontal line.","Extratext"
"Mar 22, 2022","manpage","3","Construct a shell command to show a man page in Preview.","Extratext"
"Mar 22, 2022","reboot","1","Terminal command to reboot macOS.","Extratext"
"Mar 22, 2022","rs","2","Terminal Shortcuts CLI","Extratext"
"Mar 22, 2022","toolbox","1","URL to Toolbox Pro for iOS.","Extratext"
"Mar 22, 2022","ts","13","Timestamp in DavodTime","Extratext"
"Mar 22, 2022","txt+","1","Merge all .txt files in directory using Pandoc.","Extratext"
"Mar 22, 2022","wtf","1","WTF domain","Extratext"
"Mar 22, 2022","~","2","Tilde.Town profile.","Extratext"
"Mar 23, 2022","flush","1","macOS DNS flush command.","Extratext"
"Mar 23, 2022","idco","1","@ColumbiaMO’s chat id.","Telegram"
"Mar 23, 2022","img","3","Construct a markdown image link.","Extratext"
"Mar 23, 2022","import","1","URL to Import page in Raindrop.","Extratext"
"Mar 23, 2022","jail","1","URL to "The Fastest Route to Twitter Jail” on The Psalms.","Extratext"
"Mar 23, 2022","line","1","Create a three-dash horizontal line.","Extratext"
"Mar 23, 2022","manpage","1","Construct a shell command to show a man page in Preview.","Extratext"
"Mar 23, 2022","sys","1","Get System Information (BASH)","Test"
"Mar 23, 2022","ts","8","Timestamp in DavodTime","Extratext"
"Mar 23, 2022","txt+","1","Merge all .txt files in directory using Pandoc.","Extratext"
"Mar 24, 2022","","3","","Test"
"Mar 24, 2022","drybirt","1","Drywall Birthday","Extratext"
"Mar 24, 2022","im ","1","","Contractions - English (US)"
"Mar 24, 2022","sign","2","","Test"
"Mar 25, 2022","flush","1","macOS DNS flush command.","Extratext"
"Mar 25, 2022","gm2","1","Good Morning 2","Text Fuck"
"Mar 25, 2022","img","1","Construct a markdown image link.","Extratext"
"Mar 25, 2022","ma","1","","US States"
"Mar 25, 2022","manpage","2","Construct a shell command to show a man page in Preview.","Extratext"
"Mar 25, 2022","shortcc","2","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Mar 25, 2022","ts","6","Timestamp in DavodTime","Extratext"
"Mar 25, 2022","wtf","2","WTF domain","Extratext"
"Mar 30, 2022","vid","1","<video> Element Embed","Extratext"
"Mar 31, 2022","bilge","3","Canonical URL of a blog post string.","Extratext"
"Mar 31, 2022","gm2","1","Good Morning 2","Text Fuck"
"Mar 31, 2022","issue","1","Construct a URL to a GitHub Issue.","Extratext"
"Mar 31, 2022","line","2","Create a three-dash horizontal line.","Extratext"
"Mar 31, 2022","rh","2","Url to my RoutineHub profile.","Extratext"
"Mar 31, 2022","right","2","⇨","Extratext"
"Mar 31, 2022","shortcc","2","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Mar 31, 2022","shortttm","3","Curl long urls to be shortened to the Tildeverse’s Null Pointer.","Extratext"
"Mar 31, 2022","ts","12","Timestamp in DavodTime","Extratext"
"Mar 31, 2022","ttm","1","Curl files to Tilde.Town’s Null Pointer.","Extratext"
"Apr 3, 2022","bilge","2","Canonical URL of a blog post string.","Extratext"
"Apr 3, 2022","gm2","1","Good Morning 2","Text Fuck"
"Apr 3, 2022","img","1","Construct a markdown image link.","Extratext"
"Apr 3, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Apr 3, 2022","right","6","⇨","Extratext"
"Apr 3, 2022","shortcc","2","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Apr 3, 2022","shortttm","4","Curl long urls to be shortened to the Tildeverse’s Null Pointer.","Extratext"
"Apr 3, 2022","ts","1","Timestamp in DavodTime","Extratext"
"Apr 3, 2022","tweetbot","2","URL to Tweetbot on the App Store.","Extratext"
"Apr 3, 2022","vid","1","<video> Element Embed","Extratext"
"Apr 3, 2022","wtf","3","WTF domain","Extratext"
"Apr 8, 2022","dlp","6","yt-dlp Query formats of URL on clipboard.","Snowden"
"Apr 8, 2022","fdlp","6","yt-dlp Query formats of URL on clipboard.","Snowden"
"Apr 8, 2022","hi","1","Columbia MO local Telegram Group Chat Prompt","Telegram"
"Apr 8, 2022","import","2","URL to Import page in Raindrop.","Extratext"
"Apr 8, 2022","int","3","Interrobang‽‽‽ ","Extratext"
"Apr 8, 2022","io","2","Construct a GitHub Pages link for my GitHub account.","Extratext"
"Apr 8, 2022","issue","2","Construct a URL to a GitHub Issue.","Extratext"
"Apr 8, 2022","right","1","⇨","Extratext"
"Apr 8, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Apr 8, 2022","ts","2","Timestamp in DavodTime","Extratext"
"Apr 9, 2022","bilge","1","Canonical URL of a blog post string.","Extratext"
"Apr 9, 2022","dlp","1","yt-dlp Query formats of URL on clipboard.","Snowden"
"Apr 9, 2022","fdlp","1","yt-dlp Query formats of URL on clipboard.","Snowden"
"Apr 9, 2022","gm2","1","Good Morning 2","Text Fuck"
"Apr 9, 2022","img","2","Construct a markdown image link.","Extratext"
"Apr 9, 2022","issue","4","Construct a URL to a GitHub Issue.","Extratext"
"Apr 9, 2022","left","1","⇦","Extratext"
"Apr 9, 2022","macdrafts","1","URL to Drafts for macOS on the App Store.","Extratext"
"Apr 9, 2022","neocities","1","URL to the home dashboard view in the NeoCities backend.","Extratext"
"Apr 9, 2022","pith","1","Blimp’s Burden, Chapter VI.","Extratext"
"Apr 9, 2022","right","3","⇨","Extratext"
"Apr 9, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Apr 9, 2022","str1","1","String 1","Text Fuck"
"Apr 9, 2022","str2","1","String 2","Text Fuck"
"Apr 9, 2022","str3","1","String 3","Text Fuck"
"Apr 9, 2022","str4","1","String 4","Text Fuck"
"Apr 9, 2022","str5","1","String 5","Text Fuck"
"Apr 9, 2022","str6","1","String 6","Text Fuck"
"Apr 9, 2022","str7","1","String 7","Text Fuck"
"Apr 9, 2022","str8","1","String 8","Text Fuck"
"Apr 9, 2022","str9","1","String 9","Text Fuck"
"Apr 9, 2022","ts","5","Timestamp in DavodTime","Extratext"
"Apr 9, 2022","vcf","1","Contact Card Raw File Link","Extratext"
"Apr 9, 2022","wtf","2","WTF domain","Extratext"
"Apr 10, 2022","bilge","1","Canonical URL of a blog post string.","Extratext"
"Apr 10, 2022","fdlp","3","yt-dlp Query formats of URL on clipboard.","Snowden"
"Apr 10, 2022","import","1","URL to Import page in Raindrop.","Extratext"
"Apr 10, 2022","sitemap","8","wget command to generate a sitemap file.","Extratext"
"Apr 10, 2022","tr","1","URL to the GitHub Gist for my Text Replacement menu.","Extratext"
"Apr 10, 2022","ts","2","Timestamp in DavodTime","Extratext"
"Apr 10, 2022","txt+","1","Merge all .txt files in directory using Pandoc.","Extratext"
"Apr 10, 2022","wget","3","wget","Extratext"
"Apr 11, 2022","ts","1","Timestamp in DavodTime","Extratext"
"Apr 13, 2022","flush","2","macOS DNS flush command.","Extratext"
"Apr 13, 2022","right","1","⇨","Extratext"
"Apr 13, 2022","rs","1","Terminal Shortcuts CLI","Extratext"
"Apr 14, 2022","bilge","2","Canonical URL of a blog post string.","Extratext"
"Apr 14, 2022","import","2","URL to Import page in Raindrop.","Extratext"
"Apr 14, 2022","io","1","Construct a GitHub Pages link for my GitHub account.","Extratext"
"Apr 14, 2022","issue","2","Construct a URL to a GitHub Issue.","Extratext"
"Apr 14, 2022","latte","1","URL to generate a new repository with my standard repository template.","Extratext"
"Apr 14, 2022","line","2","Create a three-dash horizontal line.","Extratext"
"Apr 14, 2022","masto","1","Mastodon","Extratext"
"Apr 14, 2022","rs","1","Terminal Shortcuts CLI","Extratext"
"Apr 14, 2022","telenum","2","Full Phone Number","Extratext"
"Apr 14, 2022","ts","14","Timestamp in DavodTime","Extratext"
"Apr 14, 2022","twt","1","Twitter","Extratext"
"Apr 14, 2022","txt+","1","Merge all .txt files in directory using Pandoc.","Extratext"
"Apr 14, 2022","wget","1","wget","Extratext"
"Apr 14, 2022","wtf","4","WTF domain","Extratext"
"Apr 15, 2022","cities","1","Construct an upload command with the NeoCities API","Snowden"
"Apr 15, 2022","colossus","1","“The New Colossus” by Emma Lazarus - used mostly as lorem ipsum.","Extratext"
"Apr 15, 2022","desc","1","Video streaming service description template - the contact links and decorative matter.","Extratext"
"Apr 15, 2022","vcf","2","Contact Card Raw File Link","Extratext"