Table 1/3: DMCA Takedown Notices,,,,,,,,,,,,,
Time period start,Twitter copyright notices,Periscope copyright notices,Vine copyright notices,Twitter percentage material removed,Periscope percentage material removed,Vine percentage material removed,Twitter accounts affected,Periscope accounts affected,Vine accounts affected,Twitter media withheld,Periscope media withheld,Vine media withheld,Tweets withheld
2020-01-01,153325,20661,(null),0.545,0.758,(null),1216626,7486,(null),1587560,8359,(null),1120593
2019-07-01,122758,28191,(null),0.48,0.833,(null),641715,11666,(null),811544,13100,(null),133920
2019-01-01,106951,26331,(null),0.451,0.836,(null),219304,29105,(null),266699,32499,(null),113015
2018-07-01,53049,23771,(null),0.627,0.846,(null),216667,19998,(null),277509,22668,(null),77350
2018-01-01,58100,37027,(null),0.698,0.794,(null),219304,29105,(null),266699,32499,(null),113015
2017-07-01,54187,30783,(null),0.804,0.866,(null),154106,22633,(null),165397,26104,(null),98480
2017-01-01,33641,27652,194,0.751,0.714,0.531,89848,19219,94,113804,18789,205,64021
2016-07-01,34497,26409,4830,0.66,0.703,0.597,75846,13325,2132,86091,17905,3747,75869
2016-01-01,24874,23602,6858,0.752,0.771,0.724,63947,12544,12811,49298,17211,20079,79513
2015-07-01,19039,10188,5777,0.715,0.804,0.706,38427,6958,6469,22815,9252,13840,56971
2015-01-01,14694,1391,2405,0.675,0.713,0.677,22880,864,4334,19181,1029,11426,47882
2014-07-01,16648,(null),(null),0.659,(null),(null),17359,(null),(null),17809,(null),(null),32462
2014-01-01,9199,(null),(null),0.759,(null),(null),9678,(null),(null),15088,(null),(null),30870
2013-07-01,6680,(null),(null),0.618,(null),(null),12243,(null),(null),5847,(null),(null),26506
2013-01-01,5753,(null),(null),0.607,(null),(null),22399,(null),(null),3993,(null),(null),18413
2012-07-01,3268,(null),(null),0.536,(null),(null),7205,(null),(null),1648,(null),(null),5557
2012-01-01,3378,(null),(null),0.388,(null),(null),5874,(null),(null),599,(null),(null),5275
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 2/3: Top Copyright Reporters,,,,,,,,,,,,,
Time period start,Reporter name,Takedown notices,Percentage of takedown notices per period,Materials withheld,,,,,,,,,
2020-01-01,IFPI,25410,0.165,857529,,,,,,,,,
2020-01-01,LaLiga,5614,0.036,26834,,,,,,,,,
2020-01-01,Leak ID,6711,0.043,3334,,,,,,,,,
2020-01-01,NetResult,6394,0.041,2421,,,,,,,,,
2020-01-01,Universal Music Group,21950,0.143,496485,,,,,,,,,
2019-07-01,Aiplex Software Private Limited,4928,0.04,12426,,,,,,,,,
2019-07-01,Athletia Sports,5422,0.044,25423,,,,,,,,,
2019-07-01,Leak ID,14214,0.115,8582,,,,,,,,,
2019-07-01,NetResult,6921,0.056,4144,,,,,,,,,
2019-07-01,Universal Music Group,16738,0.136,393456,,,,,,,,,
2019-01-01,Athletia Sports,5212,0.048,21620,,,,,,,,,
2019-01-01,IFPI,21723,0.203,601594,,,,,,,,,
2019-01-01,LaLiga,4832,0.045,30348,,,,,,,,,
2019-01-01,LeakID,8300,0.077,6358,,,,,,,,,
2019-01-01,NetResult,9685,0.09,8008,,,,,,,,,
2018-07-01,Athletia Sports,6621,0.124,32184,,,,,,,,,
2018-07-01,Digiturk,5910,0.111,343,,,,,,,,,
2018-07-01,FriendMediaTech,3473,0.065,7,,,,,,,,,
2018-07-01,IFPI,5295,0.099,79079,,,,,,,,,
2018-07-01,NetResult,5498,0.103,1215,,,,,,,,,
2018-01-01,Athletia Sports,9617,0.165,37841,,,,,,,,,
2018-01-01,Digiturk,12182,0.209,103085,,,,,,,,,
2018-01-01,FriendMediaTech,6294,0.108,12041,,,,,,,,,
2018-01-01,IFPI,6415,0.11,14113,,,,,,,,,
2018-01-01,NetResult,9257,0.159,29476,,,,,,,,,
2017-07-01,Athletia Sports,20203,0.372,17801,,,,,,,,,
2017-07-01,Digiturk,8902,0.164,6588,,,,,,,,,
2017-07-01,FriendMediaTech,3618,0.066,794,,,,,,,,,
2017-07-01,IFPI,5616,0.103,86228,,,,,,,,,
2017-07-01,NetResult,10200,0.188,7900,,,,,,,,,
2017-01-01,Athletia,5333,0.158,7890,,,,,,,,,
2017-01-01,Digiturk,8737,0.259,5599,,,,,,,,,
2017-01-01,FriendMediaTech,3238,0.096,775,,,,,,,,,
2017-01-01,IFPI,2922,0.086,28693,,,,,,,,,
2017-01-01,NetResult,13743,0.408,7615,,,,,,,,,
2016-07-01,Digiturk,5226,0.151,3694,,,,,,,,,
2016-07-01,Friend MTS,13763,0.398,12429,,,,,,,,,
2016-07-01,IFPI,3985,0.115,12565,,,,,,,,,
2016-07-01,NetResult,12606,0.365,9851,,,,,,,,,
2016-07-01,UFC,2043,0.059,2187,,,,,,,,,
2016-01-01,Digiturk,4875,0.195,4896,,,,,,,,,
2016-01-01,La Liga,2172,0.087,10923,,,,,,,,,
2016-01-01,NetResult,21202,0.852,18749,,,,,,,,,
2016-01-01,Remove Your Media,2043,0.082,15620,,,,,,,,,
2016-01-01,"Zuffa, LLC",2158,0.086,1696,,,,,,,,,
2015-07-01,Athletia Sports GmbH,1034,0.054,4497,,,,,,,,,
2015-07-01,Digiturk,2554,0.134,2122,,,,,,,,,
2015-07-01,NetResult,10057,0.528,6279,,,,,,,,,
2015-07-01,Remove Your Media,1389,0.072,12078,,,,,,,,,
2015-07-01,"Zuffa, LLC",1739,0.091,1469,,,,,,,,,
2015-01-01,Athletia Sports,860,0.058,2775,,,,,,,,,
2015-01-01,Canal+,825,0.056,1976,,,,,,,,,
2015-01-01,Entura International,867,0.059,3243,,,,,,,,,
2015-01-01,NetResult,2465,0.167,7517,,,,,,,,,
2015-01-01,Remove Your Media,2122,0.144,17303,,,,,,,,,
2014-07-01,IFPI,6252,0.375,4700,,,,,,,,,
2014-07-01,Irdeto,94,0.005,50,,,,,,,,,
2014-07-01,NetResult,277,0.016,5629,,,,,,,,,
2014-07-01,Remove Your Media,1529,0.091,12271,,,,,,,,,
2014-07-01,TMG,743,0.044,387,,,,,,,,,
2014-01-01,Copyright Integrity,225,0.024,3093,,,,,,,,,
2014-01-01,Ennovva,215,0.023,3003,,,,,,,,,
2014-01-01,Irdeto,368,0.04,229,,,,,,,,,
2014-01-01,NetResult,498,0.054,3551,,,,,,,,,
2014-01-01,Remove Your Media,1124,0.122,14335,,,,,,,,,
2013-07-01,Copyright Integrity,104,0.015,1653,,,,,,,,,
2013-07-01,Recording Industry Association of America,243,0.036,5155,,,,,,,,,
2013-07-01,Remove Your Media,693,0.103,12350,,,,,,,,,
2013-07-01,Takedown Piracy,125,0.018,944,,,,,,,,,
2013-07-01,Web Sheriff,104,0.015,1957,,,,,,,,,
2013-01-01,Copyright Integrity,164,0.028,1721,,,,,,,,,
2013-01-01,Recording Industry Association of America,474,0.082,2044,,,,,,,,,
2013-01-01,Remove Your Media,696,0.12,11706,,,,,,,,,
2012-07-01,Copyright Integrity,122,0.037,893,,,,,,,,,
2012-07-01,Recording Industry Association of America,120,0.036,158,,,,,,,,,
2012-07-01,Websheriff,199,0.06,3458,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 3/3: DMCA Counter Notices,,,,,,,,,,,,,
Time period start,Counter notices,Restoration rate,Media withheld,Tweets withheld,,,,,,,,,
2020-01-01,3310,1,4382,747,,,,,,,,,
2019-07-01,6497,1,8530,1131,,,,,,,,,
2019-01-01,3966,1,5217,750,,,,,,,,,
2018-07-01,1029,1,907,656,,,,,,,,,
2018-01-01,1185,1,1296,450,,,,,,,,,
2017-07-01,611,1,775,453,,,,,,,,,
2017-01-01,313,1,497,607,,,,,,,,,
2016-07-01,355,1,364,236,,,,,,,,,
2016-01-01,161,1,274,59,,,,,,,,,
2015-07-01,121,1,141,65,,,,,,,,,
2015-01-01,27,1,11,34,,,,,,,,,
2014-07-01,13,0.92,29,2,,,,,,,,,
2014-01-01,18,1,34,83,,,,,,,,,
2013-07-01,10,1,10,2,,,,,,,,,
2013-01-01,6,1,6,0,,,,,,,,,
2012-07-01,5,1,2,31,,,,,,,,,