Table 1/2: Legal Demands,,,,,,,,,,,,,,,
2017-07-01,United States,7,82,89,(null),(null),(null),0,0,162,0,0,0,0,64
2017-07-01,Uruguay,0,5,5,(null),(null),(null),0,0,7,0,0,0,0,7
2017-07-01,Venezuela,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,0
2017-07-01,Worldwide,0,0,0,(null),(null),(null),0,0,0,0,0,0,0,0
2017-01-01,Argentina,0,7,7,(null),(null),(null),0,0,7,0,0,0,0,3
2017-01-01,Australia,1,6,7,(null),(null),(null),0,0,6,0,23,0,0,1
2017-01-01,Bahrain,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,0
2017-01-01,Belgium,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,3
2017-01-01,Brazil,14,20,34,(null),(null),(null),0,0,271,0,25,0,0,18
2017-01-01,Canada,0,11,11,(null),(null),(null),0,0,12,0,0,0,0,5
2017-01-01,Chile,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2017-01-01,Colombia,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,3
2017-01-01,Croatia,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2017-01-01,Dominican Republic,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,2
2017-01-01,Ecuador,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,0
2017-01-01,Finland,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2017-01-01,France,1,1038,1039,(null),(null),(null),0,0,1177,2,164,0,0,393
2017-01-01,Germany,0,443,443,(null),(null),(null),0,0,469,0,121,0,0,198
2017-01-01,Greece,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,2
2017-01-01,Hong Kong SAR,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,1
2017-01-01,India,2,102,104,(null),(null),(null),0,0,341,0,0,0,0,101
2017-01-01,Indonesia,0,57,57,(null),(null),(null),0,0,93,0,0,0,0,36
2017-01-01,Ireland,0,8,8,(null),(null),(null),0,0,12,0,0,0,0,4
2017-01-01,Israel,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,1
2017-01-01,Italy,0,5,5,(null),(null),(null),0,0,5,0,0,0,0,0
2017-01-01,Japan,9,95,104,(null),(null),(null),0,0,424,0,64,0,0,303
2017-01-01,Kenya,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2017-01-01,Kuwait,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,0
2017-01-01,Malaysia,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,0
2017-01-01,Mexico,0,5,5,(null),(null),(null),0,0,4,0,0,0,0,1
2017-01-01,Nepal,0,8,8,(null),(null),(null),0,0,8,0,0,0,0,1
2017-01-01,Netherlands,0,12,12,(null),(null),(null),0,0,12,0,1,0,0,6
2017-01-01,Pakistan,0,24,24,(null),(null),(null),0,0,82,0,0,0,0,19
2017-01-01,Paraguay,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2017-01-01,Philippines,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,1
2017-01-01,Poland,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,3
2017-01-01,Qatar,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,1
2017-01-01,Russia,0,1213,1213,(null),(null),(null),0,0,1225,87,566,0,0,224
2017-01-01,Saudi Arabia,0,4,4,(null),(null),(null),0,0,5,0,0,0,0,2
2017-01-01,South Korea,0,33,33,(null),(null),(null),0,0,68,0,0,0,0,39
2017-01-01,Spain,4,13,17,(null),(null),(null),0,0,37,0,2,0,0,11
2017-01-01,Thailand,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2017-01-01,Turkey,715,1995,2710,(null),(null),(null),0,0,9289,204,497,0,0,1376
2017-01-01,Ukraine,1,0,1,(null),(null),(null),0,0,2,0,0,0,0,0
2017-01-01,United Arab Emirates,0,15,15,(null),(null),(null),0,0,54,0,0,0,0,49
2017-01-01,United Kingdom,1,65,66,(null),(null),(null),0,0,218,4,0,0,0,37
2017-01-01,United States,4,118,122,(null),(null),(null),0,0,261,0,0,0,0,179
2017-01-01,Uruguay,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2017-01-01,Venezuela,0,1,1,(null),(null),(null),0,0,2,0,0,0,0,0
2016-07-01,Afghanistan,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2016-07-01,Argentina,1,1,2,(null),(null),(null),0,0,1,0,0,0,0,1
2016-07-01,Australia,0,4,4,(null),(null),(null),0,0,4,0,0,0,0,3
2016-07-01,Austria,0,2,2,(null),(null),(null),0,0,4,0,0,0,0,3
2016-07-01,Azerbaijan,1,0,1,(null),(null),(null),0,0,0,0,0,0,0,0
2016-07-01,Belarus,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2016-07-01,Belgium,0,1,1,(null),(null),(null),0,0,47,0,0,0,0,44
2016-07-01,Brazil,33,14,47,(null),(null),(null),0,0,114,2,15,0,0,21
2016-07-01,Canada,0,11,11,(null),(null),(null),0,0,29,0,0,0,0,14
2016-07-01,Colombia,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,2
2016-07-01,Ecuador,0,1,1,(null),(null),(null),0,0,16,0,0,0,0,0
2016-07-01,Estonia,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,2
2016-07-01,France,0,1334,1334,(null),(null),(null),0,0,1430,14,335,0,0,298
2016-07-01,Germany,0,236,236,(null),(null),(null),0,0,322,2,121,0,0,49
2016-07-01,Greece,0,4,4,(null),(null),(null),0,0,4,0,0,0,0,4
2016-07-01,Haiti,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2016-07-01,India,1,96,97,(null),(null),(null),0,0,295,0,0,0,0,104
2016-07-01,Indonesia,0,176,176,(null),(null),(null),0,0,682,0,0,0,0,527
2016-07-01,Ireland,1,7,8,(null),(null),(null),0,0,32,0,7,0,0,5
2016-07-01,Israel,0,12,12,(null),(null),(null),0,0,34,0,16,0,0,2
2016-07-01,Italy,0,6,6,(null),(null),(null),0,0,6,0,0,0,0,2
2016-07-01,Japan,6,76,82,(null),(null),(null),0,0,296,0,23,0,0,80
2016-07-01,Kazakhstan,0,4,4,(null),(null),(null),0,0,4,0,0,0,0,3
2016-07-01,Kuwait,0,4,4,(null),(null),(null),0,0,11,0,0,0,0,9
2016-07-01,Luxembourg,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2016-07-01,Malaysia,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,0
2016-07-01,Mexico,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,1
2016-07-01,Netherlands,0,3,3,(null),(null),(null),0,0,3,1,2,0,0,2
2016-07-01,New Zealand,0,4,4,(null),(null),(null),0,0,7,0,0,0,0,3
2016-07-01,Norway,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,1
2016-07-01,Pakistan,0,13,13,(null),(null),(null),0,0,19,0,0,0,0,12
2016-07-01,Philippines,0,4,4,(null),(null),(null),0,0,3,0,0,0,0,2
2016-07-01,Portugal,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,1
2016-07-01,Russia,3,519,522,(null),(null),(null),0,0,620,55,89,0,0,282
2016-07-01,Saudi Arabia,0,1,1,(null),(null),(null),0,0,2,0,0,0,0,1
2016-07-01,South Africa,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2016-07-01,South Korea,0,56,56,(null),(null),(null),0,0,141,0,0,0,0,102
2016-07-01,Spain,1,13,14,(null),(null),(null),0,0,21,0,0,0,0,10
2016-07-01,Switzerland,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2016-07-01,Thailand,0,3,3,(null),(null),(null),0,0,5,0,0,0,0,5
2016-07-01,Turkey,844,2232,3076,(null),(null),(null),0,0,8417,290,489,0,0,544
2016-07-01,United Arab Emirates,0,8,8,(null),(null),(null),0,0,30,0,0,0,0,25
2016-07-01,United Kingdom,1,65,66,(null),(null),(null),0,0,238,3,16,0,0,15
2016-07-01,United States,2,100,102,(null),(null),(null),0,0,164,0,0,0,0,64
2016-07-01,Uzbekistan,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,2
2016-07-01,Venezuela,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2016-01-01,Australia,0,5,5,(null),(null),(null),0,0,35,0,1,0,0,2
2016-01-01,Azerbaijan,0,12,12,(null),(null),(null),0,0,12,0,0,0,0,9
2016-01-01,Brazil,21,19,40,(null),(null),(null),0,0,172,0,13,0,0,36
2016-01-01,Canada,0,11,11,(null),(null),(null),0,0,13,0,0,0,0,3
2016-01-01,Chile,1,0,1,(null),(null),(null),0,0,1,0,0,0,0,0
2016-01-01,Colombia,0,4,4,(null),(null),(null),0,0,4,0,0,0,0,2
2016-01-01,Ecuador,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2016-01-01,France,0,466,466,(null),(null),(null),0,0,758,4,51,0,0,381
2016-01-01,Georgia,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,2
2016-01-01,Germany,0,63,63,(null),(null),(null),0,0,143,4,4,0,0,93
2016-01-01,India,1,42,43,(null),(null),(null),0,0,129,0,0,0,0,89
2016-01-01,Indonesia,0,30,30,(null),(null),(null),0,0,113,0,0,0,0,49
2016-01-01,Ireland,1,5,6,(null),(null),(null),0,0,11,0,1,0,0,6
2016-01-01,Israel,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,1
2016-01-01,Japan,4,63,67,(null),(null),(null),0,0,169,0,21,0,0,78
2016-01-01,Kuwait,0,5,5,(null),(null),(null),0,0,9,0,0,0,0,7
2016-01-01,Lebanon,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,1
2016-01-01,Malaysia,0,2,2,(null),(null),(null),0,0,4,0,0,0,0,3
2016-01-01,Maldives,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2016-01-01,Mexico,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,1
2016-01-01,Mongolia,0,1,1,(null),(null),(null),0,0,0,0,0,0,0,0
2016-01-01,Netherlands,0,6,6,(null),(null),(null),0,0,7,0,3,0,0,2
2016-01-01,New Zealand,0,1,1,(null),(null),(null),0,0,2,0,0,0,0,0
2016-01-01,Pakistan,1,8,9,(null),(null),(null),0,0,32,0,0,0,0,27
2016-01-01,Philippines,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2016-01-01,Russia,2,1599,1601,(null),(null),(null),0,0,1698,10,182,0,0,1272
2016-01-01,Serbia,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,1
2016-01-01,Singapore,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,0
2016-01-01,South Africa,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2016-01-01,South Korea,0,17,17,(null),(null),(null),0,0,17,0,0,0,0,9
2016-01-01,Spain,9,11,20,(null),(null),(null),0,0,27,0,3,0,0,8
2016-01-01,Sweden,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,2
2016-01-01,Turkey,712,1781,2493,(null),(null),(null),0,0,14953,222,1571,0,0,393
2016-01-01,United Arab Emirates,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,1
2016-01-01,United Kingdom,6,168,174,(null),(null),(null),0,0,2090,0,749,0,0,27
2016-01-01,United States,2,98,100,(null),(null),(null),0,0,150,0,0,0,0,82
2016-01-01,Venezuela,1,0,1,(null),(null),(null),0,0,5,0,0,0,0,0
2015-07-01,Australia,0,3,3,(null),(null),(null),0,0,2,0,0,0,0,0
2015-07-01,Bosnia And Herzegovina,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2015-07-01,Brazil,15,3,18,(null),(null),(null),0,0,107,1,107,0,0,8
2015-07-01,Canada,0,8,8,(null),(null),(null),0,0,8,0,0,0,0,6
2015-07-01,Colombia,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,2
2015-07-01,Czech Republic,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2015-07-01,Dominican Republic,0,11,11,(null),(null),(null),0,0,11,0,0,0,0,3
2015-07-01,Ecuador,0,16,16,(null),(null),(null),0,0,20,0,0,0,0,2
2015-07-01,Egypt,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2015-07-01,France,4,150,154,(null),(null),(null),0,0,305,2,74,0,0,91
2015-07-01,Georgia,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2015-07-01,Germany,0,10,10,(null),(null),(null),0,0,10,1,1,0,0,4
2015-07-01,Greece,0,4,4,(null),(null),(null),0,0,4,0,0,0,0,1
2015-07-01,India,1,39,40,(null),(null),(null),0,0,47,0,0,0,0,21
2015-07-01,Indonesia,0,8,8,(null),(null),(null),0,0,8,0,0,0,0,5
2015-07-01,Italy,0,4,4,(null),(null),(null),0,0,4,0,0,0,0,4
2015-07-01,Japan,2,35,37,(null),(null),(null),0,0,130,0,1,0,0,81
2015-07-01,Kazakhstan,0,4,4,(null),(null),(null),0,0,18,0,0,0,0,13
2015-07-01,Kenya,1,0,1,(null),(null),(null),0,0,1,0,0,0,0,0
2015-07-01,Kuwait,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,2
2015-07-01,Luxembourg,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2015-07-01,Malaysia,0,3,3,(null),(null),(null),0,0,24,0,0,0,0,23
2015-07-01,Mongolia,0,111,111,(null),(null),(null),0,0,111,0,0,0,0,23
2015-07-01,Netherlands,0,5,5,(null),(null),(null),0,0,6,0,3,0,0,0
2015-07-01,New Zealand,0,1,1,(null),(null),(null),0,0,0,0,0,0,0,0
2015-07-01,Pakistan,0,12,12,(null),(null),(null),0,0,33,0,0,0,0,9
2015-07-01,Russia,6,1729,1735,(null),(null),(null),0,0,1774,14,82,0,0,1306
2015-07-01,Saudi Arabia,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2015-07-01,Serbia,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2015-07-01,South Korea,0,79,79,(null),(null),(null),0,0,131,0,0,0,0,61
2015-07-01,Spain,3,3,6,(null),(null),(null),0,0,6,0,0,0,0,1
2015-07-01,Turkey,450,1761,2211,(null),(null),(null),0,0,8092,414,3003,0,0,530
2015-07-01,United Kingdom,1,21,22,(null),(null),(null),0,0,120,0,82,0,0,11
2015-07-01,United States,3,98,101,(null),(null),(null),0,0,107,0,0,0,0,58
2015-01-01,Brazil,17,4,21,(null),(null),(null),0,0,28,1,403,0,0,0
2015-01-01,Canada,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2015-01-01,France,3,29,32,(null),(null),(null),0,0,37,0,2,0,0,0
2015-01-01,Germany,2,12,14,(null),(null),(null),0,0,20,10,6,0,0,0
2015-01-01,India,2,31,33,(null),(null),(null),0,0,65,0,0,0,0,0
2015-01-01,Indonesia,0,3,3,(null),(null),(null),0,0,878,0,0,0,0,0
2015-01-01,Iraq,0,1,1,(null),(null),(null),0,0,0,0,0,0,0,0
2015-01-01,Italy,0,2,2,(null),(null),(null),0,0,3,0,0,0,0,0
2015-01-01,Japan,8,8,16,(null),(null),(null),0,0,186,0,220,0,0,0
2015-01-01,Kazakhstan,0,1,1,(null),(null),(null),0,0,4,0,0,0,0,0
2015-01-01,Malaysia,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2015-01-01,Mexico,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2015-01-01,Mongolia,0,5,5,(null),(null),(null),0,0,5,0,0,0,0,0
2015-01-01,Netherlands,0,4,4,(null),(null),(null),0,0,4,0,0,0,0,0
2015-01-01,Pakistan,0,6,6,(null),(null),(null),0,0,60,0,0,0,0,0
2015-01-01,Russia,0,68,68,(null),(null),(null),0,0,177,22,56,0,0,0
2015-01-01,South Korea,0,40,40,(null),(null),(null),0,0,59,0,0,0,0,0
2015-01-01,Spain,2,0,2,(null),(null),(null),0,0,1,0,0,0,0,0
2015-01-01,Turkey,408,310,718,(null),(null),(null),0,0,1978,125,1667,0,0,0
2015-01-01,United Kingdom,0,9,9,(null),(null),(null),0,0,15,0,0,0,0,0
2015-01-01,United States,0,25,25,(null),(null),(null),0,0,71,0,0,0,0,0
2014-07-01,Argentina,0,1,1,(null),(null),(null),0,0,2,0,0,0,0,0
2014-07-01,Brazil,27,0,27,(null),(null),(null),0,0,191,5,101,0,0,0
2014-07-01,Canada,1,4,5,(null),(null),(null),0,0,3,0,0,0,0,0
2014-07-01,Ecuador,1,0,1,(null),(null),(null),0,0,3,0,0,0,0,0
2014-07-01,France,1,34,35,(null),(null),(null),0,0,38,0,15,0,0,0
2014-07-01,Germany,1,42,43,(null),(null),(null),0,0,42,14,6,0,0,0
2014-07-01,Greece,0,1,1,(null),(null),(null),0,0,2,0,0,0,0,0
2014-07-01,India,1,14,15,(null),(null),(null),0,0,15,1,0,0,0,0
2014-07-01,Japan,4,15,19,(null),(null),(null),0,0,26,0,19,0,0,0
2014-07-01,Kazakhstan,0,1,1,(null),(null),(null),0,0,2,0,0,0,0,0
2014-07-01,Kenya,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2014-07-01,Kuwait,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,0
2014-07-01,Mexico,0,2,2,(null),(null),(null),0,0,34,0,0,0,0,0
2014-07-01,Netherlands,0,14,14,(null),(null),(null),0,0,14,0,12,0,0,0
2014-07-01,Pakistan,0,4,4,(null),(null),(null),0,0,24,0,0,0,0,0
2014-07-01,Russia,2,89,91,(null),(null),(null),0,0,91,3,9,0,0,0
2014-07-01,South Korea,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,0
2014-07-01,Spain,0,1,1,(null),(null),(null),0,0,2,0,0,0,0,0
2014-07-01,Turkey,328,149,477,(null),(null),(null),0,0,2642,62,1820,0,0,0
2014-07-01,United Kingdom,4,18,22,(null),(null),(null),0,0,40,0,0,0,0,0
2014-07-01,United States,6,26,32,(null),(null),(null),0,0,60,0,0,0,0,0
2014-01-01,Brazil,8,0,8,(null),(null),(null),0,0,14,0,0,0,0,0
2014-01-01,Canada,0,3,3,(null),(null),(null),0,0,5,0,0,0,0,0
2014-01-01,Colombia,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2014-01-01,Cyprus,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2014-01-01,France,1,107,108,(null),(null),(null),0,0,112,0,30,0,0,0
2014-01-01,Germany,0,2,2,(null),(null),(null),0,0,3,0,0,0,0,0
2014-01-01,Greece,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,0
2014-01-01,Hong Kong SAR,1,0,1,(null),(null),(null),0,0,1,0,0,0,0,0
2014-01-01,India,0,5,5,(null),(null),(null),0,0,9,0,0,0,0,0
2014-01-01,Ireland,1,1,2,(null),(null),(null),0,0,13,0,0,0,0,0
2014-01-01,Japan,2,6,8,(null),(null),(null),0,0,31,0,24,0,0,0
2014-01-01,Kuwait,0,5,5,(null),(null),(null),0,0,7,0,0,0,0,0
2014-01-01,Netherlands,0,3,3,(null),(null),(null),0,0,3,0,1,0,0,0
2014-01-01,Norway,1,1,2,(null),(null),(null),0,0,1,0,0,0,0,0
2014-01-01,Pakistan,0,12,12,(null),(null),(null),0,0,101,0,0,0,0,0
2014-01-01,Russia,0,32,32,(null),(null),(null),0,0,34,8,11,0,0,0
2014-01-01,Spain,1,1,2,(null),(null),(null),0,0,4,0,0,0,0,0
2014-01-01,Turkey,65,121,186,(null),(null),(null),0,0,304,17,183,0,0,0
2014-01-01,United Arab Emirates,0,1,1,(null),(null),(null),0,0,13,0,0,0,0,0
2014-01-01,United Kingdom,3,14,17,(null),(null),(null),0,0,22,0,2,0,0,0
2014-01-01,United States,5,26,31,(null),(null),(null),0,0,42,0,0,0,0,0
2013-07-01,Brazil,11,1,12,(null),(null),(null),0,0,50,2,26,0,0,0
2013-07-01,France,3,306,309,(null),(null),(null),0,0,146,0,133,0,0,0
2013-07-01,Germany,1,1,2,(null),(null),(null),0,0,1,0,0,0,0,0
2013-07-01,Greece,0,2,2,(null),(null),(null),0,0,3,0,0,0,0,0
2013-07-01,Hong Kong SAR,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2013-07-01,India,2,6,8,(null),(null),(null),0,0,54,0,13,0,0,0
2013-07-01,Ireland,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2013-07-01,Italy,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2013-07-01,Japan,1,1,2,(null),(null),(null),0,0,1,0,10,0,0,0
2013-07-01,Kuwait,0,2,2,(null),(null),(null),0,0,3,0,0,0,0,0
2013-07-01,Mexico,0,1,1,(null),(null),(null),0,0,2,0,0,0,0,0
2013-07-01,Russia,0,14,14,(null),(null),(null),0,0,14,1,9,0,0,0
2013-07-01,Turkey,2,0,2,(null),(null),(null),0,0,2,0,0,0,0,0
2013-07-01,United Arab Emirates,1,1,2,(null),(null),(null),0,0,5,0,0,0,0,0
2013-07-01,United Kingdom,1,8,9,(null),(null),(null),0,0,9,0,0,0,0,0
2013-07-01,United States,2,6,8,(null),(null),(null),0,0,11,0,0,0,0,0
2013-07-01,Venezuela,0,1,1,(null),(null),(null),0,0,13,0,0,0,0,0
2013-01-01,Australia,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,0
2013-01-01,Brazil,9,1,10,(null),(null),(null),0,0,11,1,39,0,0,0
2013-01-01,Canada,1,0,1,(null),(null),(null),0,0,1,0,0,0,0,0
2013-01-01,Ecuador,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2013-01-01,France,0,3,3,(null),(null),(null),0,0,14,0,12,0,0,0
2013-01-01,Germany,1,3,4,(null),(null),(null),0,0,4,3,0,0,0,0
2013-01-01,India,1,1,2,(null),(null),(null),0,0,2,0,3,0,0,0
2013-01-01,Indonesia,1,1,2,(null),(null),(null),0,0,2,0,0,0,0,0
2013-01-01,Japan,1,1,2,(null),(null),(null),0,0,2,0,6,0,0,0
2013-01-01,Netherlands,0,2,2,(null),(null),(null),0,0,2,0,5,0,0,0
2013-01-01,Russia,0,17,17,(null),(null),(null),0,0,17,4,8,0,0,0
2013-01-01,South Korea,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2013-01-01,Spain,0,1,1,(null),(null),(null),0,0,3,0,0,0,0,0
2013-01-01,Turkey,3,4,7,(null),(null),(null),0,0,30,0,0,0,0,0
2013-01-01,United Kingdom,1,1,2,(null),(null),(null),0,0,2,0,0,0,0,0
2013-01-01,United States,2,0,2,(null),(null),(null),0,0,11,0,0,0,0,0
2013-01-01,Venezuela,1,0,1,(null),(null),(null),0,0,1,0,0,0,0,0
2012-07-01,Australia,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2012-07-01,Brazil,16,0,16,(null),(null),(null),0,0,22,0,0,0,0,0
2012-07-01,Canada,2,0,2,(null),(null),(null),0,0,2,0,0,0,0,0
2012-07-01,France,0,1,1,(null),(null),(null),0,0,40,0,44,0,0,0
2012-07-01,Germany,0,2,2,(null),(null),(null),0,0,7,1,0,0,0,0
2012-07-01,India,1,1,2,(null),(null),(null),0,0,16,0,0,0,0,0
2012-07-01,Japan,0,1,1,(null),(null),(null),0,0,5,0,0,0,0,0
2012-07-01,Spain,1,0,1,(null),(null),(null),0,0,1,0,0,0,0,0
2012-07-01,Turkey,0,6,6,(null),(null),(null),0,0,9,0,0,0,0,0
2012-07-01,United Kingdom,4,2,6,(null),(null),(null),0,0,25,0,0,0,0,0
2012-07-01,United States,2,2,4,(null),(null),(null),0,0,12,0,0,0,0,0
2012-01-01,France,0,1,1,(null),(null),(null),0,0,2,0,0,0,0,0
2012-01-01,Greece,2,0,2,(null),(null),(null),0,0,2,0,0,0,0,0
2012-01-01,Pakistan,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2012-01-01,Turkey,1,0,1,(null),(null),(null),0,0,7,0,0,0,0,0
2012-01-01,United Kingdom,0,1,1,(null),(null),(null),0,0,6,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table 2/2: Local Law(s),,,,,,,,,,,,,,,
Time period start,Reports,Compliance rate,Accounts specified,Accounts withheld,Tweets withheld,Accounts TOS,,,,,,,,,
2020-01-01,1636,0.192,1089,0,31,289,,,,,,,,,
2019-07-01,1381,0.26,1014,0,57,317,,,,,,,,,
2019-01-01,887,0.15,609,0,40,83,,,,,,,,,
2018-07-01,1608,0.3,448,0,91,378,,,,,,,,,
2018-01-01,1447,0.229,852,1,89,234,,,,,,,,,
2017-07-01,1661,0.29,1341,1,199,277,,,,,,,,,