Table 1/5: USA State Information Requests,,,,
Time period start,State,Information requests,Compliance,Accounts specified
2020-01-01,Alabama,7,0.57,25
2020-01-01,Alaska,6,0.67,31
2020-01-01,Arizona,47,0.53,81
2020-01-01,Arkansas,20,0.45,25
2020-01-01,California,361,0.65,971
2020-01-01,Colorado,22,0.64,44
2020-01-01,Connecticut,14,0.5,19
2020-01-01,Delaware,3,0.67,6
2020-01-01,District of Columbia,673,0.76,960
2020-01-01,Florida,160,0.65,347
2020-01-01,Georgia,52,0.56,64
2020-01-01,Hawaii,5,1,7
2020-01-01,Idaho,7,0.29,14
2020-01-01,Illinois,100,0.63,223
2020-01-01,Indiana,17,0.76,36
2020-01-01,Iowa,10,0.8,16
2020-01-01,Kansas,13,0.69,33
2020-01-01,Kentucky,10,0.6,12
2020-01-01,Louisiana,38,0.61,51
2020-01-01,Maine,2,1,2
2020-01-01,Maryland,73,0.53,122
2020-01-01,Massachusetts,59,0.59,137
2020-01-01,Michigan,41,0.63,49
2020-01-01,Minnesota,25,0.56,26
2020-01-01,Mississippi,12,0.25,12
2020-01-01,Missouri,31,0.55,63
2020-01-01,Nebraska,9,0.67,9
2020-01-01,Nevada,27,0.44,38
2020-01-01,New Hampshire,5,0.4,6
2020-01-01,New Jersey,85,0.62,193
2020-01-01,New Mexico,5,1,5
2020-01-01,New York,414,0.6,3889
2020-01-01,North Carolina,34,0.62,75
2020-01-01,North Dakota,2,1,8
2020-01-01,Ohio,68,0.59,99
2020-01-01,Oklahoma,189,0.1,211
2020-01-01,Oregon,22,0.5,48
2020-01-01,Pennsylvania,166,0.55,650
2020-01-01,Rhode Island,6,0.33,6
2020-01-01,South Carolina,12,0.42,16
2020-01-01,South Dakota,7,0.71,7
2020-01-01,Tennessee,23,0.57,65
2020-01-01,Texas,161,0.48,457
2020-01-01,US Embassies,39,0.33,121
2020-01-01,Utah,14,0.64,27
2020-01-01,Vermont,5,1,6
2020-01-01,Virginia,194,0.62,418
2020-01-01,Washington,60,0.7,126
2020-01-01,West Virginia,42,0.14,47
2020-01-01,Wisconsin,31,0.65,59
2020-01-01,Wyoming,1,1,3
2019-07-01,Alabama,10,0.4,37
2019-07-01,Arizona,19,0.53,27
2019-07-01,Arkansas,7,0.86,12
2019-07-01,California,261,0.61,461
2019-07-01,Colorado,21,0.76,35
2019-07-01,Connecticut,5,0.6,7
2019-07-01,Delaware,2,0.5,2
2019-07-01,District of Columbia,334,0.72,4275
2019-07-01,Florida,133,0.63,401
2019-07-01,Georgia,43,0.63,56
2019-07-01,Hawaii,2,0.5,2
2019-07-01,Idaho,2,0.5,3
2019-07-01,Illinois,58,0.57,1055
2019-07-01,Indiana,21,0.62,29
2019-07-01,Iowa,9,0.11,8
2019-07-01,Kansas,12,0.33,13
2019-07-01,Kentucky,10,0.2,20
2019-07-01,Louisiana,31,0.55,79
2019-07-01,Maine,2,0,2
2019-07-01,Maryland,73,0.66,169
2019-07-01,Massachusetts,36,0.61,91
2019-07-01,Michigan,45,0.67,56
2019-07-01,Minnesota,18,0.89,39
2019-07-01,Mississippi,4,0.5,6
2019-07-01,Missouri,28,0.61,58
2019-07-01,Montana,1,1,1
2019-07-01,Nebraska,3,0.67,8
2019-07-01,Nevada,25,0.24,42
2019-07-01,New Hampshire,7,0.57,9
2019-07-01,New Jersey,68,0.62,97
2019-07-01,New Mexico,4,1,4
2019-07-01,New York,271,0.7,614
2019-07-01,North Carolina,32,0.5,75
2019-07-01,Ohio,55,0.55,72
2019-07-01,Oklahoma,7,0.57,25
2019-07-01,Oregon,16,0.69,29
2019-07-01,Pennsylvania,122,0.61,241
2019-07-01,Puerto Rico,5,0.6,6
2019-07-01,Rhode Island,4,0.25,4
2019-07-01,South Carolina,8,0.38,7
2019-07-01,South Dakota,2,1,2
2019-07-01,Tennessee,40,0.58,45
2019-07-01,Texas,159,0.56,364
2019-07-01,US Embassies,12,(null),(null)
2019-07-01,Utah,6,0.83,13
2019-07-01,Vermont,10,0.5,9
2019-07-01,Virginia,129,0.66,176
2019-07-01,Washington,43,0.63,86
2019-07-01,West Virginia,38,0.18,45
2019-07-01,Wisconsin,18,0.72,21
2019-01-01,Alabama,10,0.6,10
2019-01-01,Alaska,4,0.75,4
2019-01-01,Arizona,29,0.59,41
2019-01-01,Arkansas,2,0,3
2019-01-01,California,262,0.63,441
2019-01-01,Colorado,12,0.83,15
2019-01-01,Connecticut,12,0.75,47
2019-01-01,Delaware,2,1,6
2019-01-01,District of Columbia,341,0.77,592
2019-01-01,Florida,111,0.68,202
2019-01-01,Georgia,24,0.75,40
2019-01-01,Guam,1,0,2
2019-01-01,Hawaii,2,0.5,2
2019-01-01,Idaho,4,0.5,18
2019-01-01,Illinois,71,0.73,201
2019-01-01,Indiana,13,0.62,17
2019-01-01,Iowa,11,0.82,13
2019-01-01,Kansas,5,0.4,7
2019-01-01,Kentucky,24,0.54,54
2019-01-01,Louisiana,21,0.52,41
2019-01-01,Maine,7,0.29,7
2019-01-01,Maryland,57,0.67,67
2019-01-01,Massachusetts,32,0.72,43
2019-01-01,Michigan,52,0.77,96
2019-01-01,Minnesota,27,0.67,32
2019-01-01,Mississippi,10,0.4,13
2019-01-01,Missouri,18,0.72,31
2019-01-01,Montana,1,1,2
2019-01-01,Nebraska,13,0.92,14
2019-01-01,Nevada,11,0.18,12
2019-01-01,New Hampshire,15,0.33,16
2019-01-01,New Jersey,86,0.65,146
2019-01-01,New Mexico,6,0.5,13
2019-01-01,New York,271,0.75,556
2019-01-01,North Carolina,31,0.74,72
2019-01-01,North Dakota,5,0.6,5
2019-01-01,Ohio,51,0.67,89
2019-01-01,Oklahoma,21,0.76,39
2019-01-01,Oregon,16,0.75,72
2019-01-01,Pennsylvania,91,0.74,470
2019-01-01,Puerto Rico,1,0,1
2019-01-01,Rhode Island,2,1,3
2019-01-01,South Carolina,1,1,1
2019-01-01,South Dakota,1,0,1
2019-01-01,Tennessee,18,0.67,22
2019-01-01,Texas,109,0.68,193
2019-01-01,US Embassies,12,(null),(null)
2019-01-01,Utah,10,0.8,25
2019-01-01,Vermont,4,1,14
2019-01-01,Virginia,126,0.79,189
2019-01-01,Washington,46,0.78,101
2019-01-01,West Virginia,2,0.5,3
2019-01-01,Wisconsin,6,0.83,18
2018-07-01,Alabama,10,0.7,14
2018-07-01,Alaska,2,1,2
2018-07-01,Arizona,23,0.74,47
2018-07-01,Arkansas,8,0.63,9
2018-07-01,California,288,0.67,685
2018-07-01,Colorado,16,0.69,19
2018-07-01,Connecticut,13,0.38,17
2018-07-01,Delaware,5,0.6,9
2018-07-01,District of Columbia,308,0.79,478
2018-07-01,Florida,97,0.75,136
2018-07-01,Georgia,62,0.74,120
2018-07-01,Hawaii,2,1,2
2018-07-01,Idaho,0,(null),0
2018-07-01,Illinois,89,0.81,249
2018-07-01,Indiana,11,0.64,13
2018-07-01,Iowa,13,0.77,14
2018-07-01,Kansas,7,0.71,13
2018-07-01,Kentucky,13,0.77,21
2018-07-01,Louisiana,17,0.53,22
2018-07-01,Maine,2,0.5,2
2018-07-01,Maryland,63,0.59,97
2018-07-01,Massachusetts,30,0.83,48
2018-07-01,Michigan,32,0.88,49
2018-07-01,Minnesota,28,0.61,30
2018-07-01,Mississippi,10,0.6,12
2018-07-01,Missouri,13,0.77,23
2018-07-01,Nebraska,6,0.83,7
2018-07-01,Nevada,307,0.7,615
2018-07-01,New Hampshire,57,0.77,98
2018-07-01,New Jersey,8,0.88,20
2018-07-01,New Mexico,15,0.47,24
2018-07-01,New York,41,0.61,56
2018-07-01,North Carolina,18,0.67,32
2018-07-01,North Dakota,9,0.67,15
2018-07-01,Ohio,27,0.89,48
2018-07-01,Oklahoma,15,0.67,16
2018-07-01,Oregon,66,0.8,129
2018-07-01,Pennsylvania,2,0,2
2018-07-01,Rhode Island,1,0,1
2018-07-01,South Carolina,6,0.83,8
2018-07-01,South Dakota,3,0.67,3
2018-07-01,Tennessee,21,0.67,28
2018-07-01,Texas,75,0.67,113
2018-07-01,US Embassies,14,(null),(null)
2018-07-01,Utah,9,0.89,17
2018-07-01,Vermont,3,1,3
2018-07-01,Virginia,172,0.85,394
2018-07-01,Washington,35,0.83,53
2018-07-01,West Virginia,7,0.71,7
2018-07-01,Wisconsin,13,0.62,18
2018-07-01,Wyoming,0,(null),0
2018-01-01,Alabama,6,0.5,6
2018-01-01,Alaska,3,0.67,3
2018-01-01,Arizona,28,0.79,41
2018-01-01,Arkansas,11,0.64,16
2018-01-01,California,287,0.75,627
2018-01-01,Colorado,13,0.92,30
2018-01-01,Connecticut,12,0.75,14
2018-01-01,Delaware,2,0,1
2018-01-01,District of Columbia,375,0.83,910
2018-01-01,Florida,110,0.78,127
2018-01-01,Georgia,36,0.86,54
2018-01-01,Hawaii,4,0.25,4
2018-01-01,Idaho,4,0.5,6
2018-01-01,Illinois,77,0.86,124
2018-01-01,Indiana,20,0.8,33
2018-01-01,Iowa,11,0.55,12
2018-01-01,Kansas,26,0.88,44
2018-01-01,Kentucky,5,0.8,38
2018-01-01,Louisiana,14,0.86,14
2018-01-01,Maine,3,0.67,3
2018-01-01,Maryland,87,0.67,249
2018-01-01,Massachusetts,33,0.82,57
2018-01-01,Michigan,46,0.8,77
2018-01-01,Minnesota,29,0.72,32
2018-01-01,Mississippi,5,0.6,7
2018-01-01,Missouri,28,0.89,30
2018-01-01,Nebraska,11,0.82,28
2018-01-01,Nevada,13,0.77,14
2018-01-01,New Hampshire,3,1,5
2018-01-01,New Jersey,57,0.75,156
2018-01-01,New Mexico,4,1,4
2018-01-01,New York,292,0.73,786
2018-01-01,North Carolina,50,0.56,76
2018-01-01,North Dakota,4,1,4
2018-01-01,Ohio,57,0.74,84
2018-01-01,Oklahoma,5,0.6,5
2018-01-01,Oregon,15,0.67,17
2018-01-01,Pennsylvania,57,0.77,157
2018-01-01,Rhode Island,1,1,1
2018-01-01,South Carolina,6,0.83,6
2018-01-01,South Dakota,3,0.67,3
2018-01-01,Tennessee,23,0.43,35
2018-01-01,Texas,112,0.59,412
2018-01-01,US Embassies,24,(null),(null)
2018-01-01,Utah,17,0.59,35
2018-01-01,Vermont,3,0.67,6
2018-01-01,Virginia,153,0.81,4768
2018-01-01,Washington,26,0.77,49
2018-01-01,West Virginia,4,0.75,4
2018-01-01,Wisconsin,15,0.8,20
2018-01-01,Wyoming,1,1,1
2017-07-01,Alabama,5,1,9
2017-07-01,Alaska,8,0.38,11
2017-07-01,Arizona,33,0.67,216
2017-07-01,Arkansas,7,0.57,8
2017-07-01,California,191,0.8,401
2017-07-01,Colorado,11,0.82,15
2017-07-01,Connecticut,15,0.67,21
2017-07-01,Delaware,1,1,1
2017-07-01,District of Columbia,326,0.81,4857
2017-07-01,Florida,57,0.67,91
2017-07-01,Georgia,43,0.79,72
2017-07-01,Hawaii,2,0.5,1
2017-07-01,Idaho,2,0.5,2
2017-07-01,Illinois,89,0.84,499
2017-07-01,Indiana,10,0.8,13
2017-07-01,Iowa,16,0.75,17
2017-07-01,Kansas,13,0.54,19
2017-07-01,Kentucky,11,0.64,34
2017-07-01,Louisiana,21,0.71,23
2017-07-01,Maine,2,0,4
2017-07-01,Maryland,70,0.76,106
2017-07-01,Massachusetts,23,0.78,52
2017-07-01,Michigan,28,0.93,52
2017-07-01,Minnesota,30,0.7,40
2017-07-01,Mississippi,5,0.2,5
2017-07-01,Missouri,25,0.76,40
2017-07-01,Montana,2,0.5,1
2017-07-01,Nebraska,6,0.83,8
2017-07-01,Nevada,13,0.23,14
2017-07-01,New Hampshire,5,0.6,7
2017-07-01,New Jersey,30,0.53,101
2017-07-01,New Mexico,6,0.5,6
2017-07-01,New York,235,0.79,415
2017-07-01,North Carolina,13,0.54,39
2017-07-01,North Dakota,1,1,2
2017-07-01,Ohio,33,0.79,56
2017-07-01,Oklahoma,4,0.5,7
2017-07-01,Oregon,2,1,5
2017-07-01,Pennsylvania,47,0.79,300
2017-07-01,Rhode Island,3,1,3
2017-07-01,South Carolina,4,0.75,4
2017-07-01,South Dakota,1,1,1
2017-07-01,Tennessee,22,0.68,28
2017-07-01,Texas,80,0.68,146
2017-07-01,US Embassies,16,(null),(null)
2017-07-01,Utah,5,1,19
2017-07-01,Vermont,1,1,1
2017-07-01,Virginia,152,0.8,323
2017-07-01,Washington,18,0.83,39
2017-07-01,West Virginia,4,0.75,4
2017-07-01,Wisconsin,14,0.93,18
2017-01-01,Alabama,9,0.67,18
2017-01-01,Alaska,7,0.86,12
2017-01-01,Arizona,35,0.74,44
2017-01-01,Arkansas,3,1,3
2017-01-01,California,292,0.75,784
2017-01-01,Colorado,17,0.71,34
2017-01-01,Connecticut,18,0.83,19
2017-01-01,Delaware,5,0.6,6
2017-01-01,District of Columbia,302,0.85,559
2017-01-01,Florida,77,0.73,168
2017-01-01,Georgia,54,0.85,146
2017-01-01,Hawaii,3,1,8
2017-01-01,Idaho,0,(null),0
2017-01-01,Illinois,61,0.89,124
2017-01-01,Indiana,26,0.65,42
2017-01-01,Iowa,7,1,12
2017-01-01,Kansas,7,0.43,6
2017-01-01,Kentucky,7,0.71,9
2017-01-01,Louisiana,17,0.76,22
2017-01-01,Maine,3,0.67,3
2017-01-01,Maryland,86,0.72,173
2017-01-01,Massachusetts,25,0.8,32
2017-01-01,Michigan,46,0.83,78
2017-01-01,Minnesota,34,0.79,43
2017-01-01,Mississippi,3,0,3
2017-01-01,Missouri,16,0.88,27
2017-01-01,Montana,3,0,8
2017-01-01,Nebraska,6,0.5,6
2017-01-01,Nevada,26,0.88,39
2017-01-01,New Hampshire,1,1,1
2017-01-01,New Jersey,62,0.74,133
2017-01-01,New Mexico,2,1,4
2017-01-01,New York,242,0.76,490
2017-01-01,North Carolina,14,0.64,30
2017-01-01,North Dakota,1,1,1
2017-01-01,Ohio,55,0.75,90
2017-01-01,Oklahoma,3,0.33,3
2017-01-01,Oregon,10,0.5,12
2017-01-01,Pennsylvania,60,0.75,204
2017-01-01,Puerto Rico,6,0,8
2017-01-01,Rhode Island,3,0.67,3
2017-01-01,South Carolina,11,0.64,33
2017-01-01,South Dakota,6,0.5,7
2017-01-01,Tennessee,19,0.68,26
2017-01-01,Texas,86,0.71,254
2017-01-01,US Embassies,32,(null),(null)
2017-01-01,Utah,18,0.61,20
2017-01-01,Vermont,4,0.75,4
2017-01-01,Virginia,234,0.82,742
2017-01-01,Washington,22,0.86,33
2017-01-01,West Virginia,9,0.78,10
2017-01-01,Wisconsin,16,0.56,21
2016-07-01,Alabama,7,0.29,7
2016-07-01,Alaska,6,0.67,8
2016-07-01,Arizona,25,0.8,54
2016-07-01,Arkansas,4,1,7
2016-07-01,California,227,0.89,431
2016-07-01,Colorado,12,0.83,17
2016-07-01,Connecticut,13,0.77,20
2016-07-01,Delaware,9,0.78,9
2016-07-01,District of Columbia,281,0.87,456
2016-07-01,Florida,72,0.74,159
2016-07-01,Georgia,54,0.89,72
2016-07-01,Hawaii,1,1,3
2016-07-01,Idaho,4,0.5,4
2016-07-01,Illinois,91,0.86,283
2016-07-01,Indiana,14,0.64,26
2016-07-01,Iowa,8,0.5,8
2016-07-01,Kansas,7,0.29,9
2016-07-01,Kentucky,7,0.86,18
2016-07-01,Louisiana,29,0.86,48
2016-07-01,Maine,3,0.67,3
2016-07-01,Maryland,103,0.74,817
2016-07-01,Massachusetts,21,0.71,28
2016-07-01,Michigan,42,0.93,75
2016-07-01,Minnesota,69,0.84,101
2016-07-01,Missouri,26,0.69,40
2016-07-01,Nebraska,8,0.5,20
2016-07-01,Nevada,4,0.5,7
2016-07-01,New Hampshire,2,1,2
2016-07-01,New Jersey,53,0.72,80
2016-07-01,New Mexico,2,1,2
2016-07-01,New York,286,0.83,595
2016-07-01,North Carolina,29,0.79,57
2016-07-01,North Dakota,3,0.33,3
2016-07-01,Ohio,40,0.8,69
2016-07-01,Oklahoma,7,0.86,12
2016-07-01,Oregon,14,0.57,24
2016-07-01,Pennsylvania,58,0.76,85
2016-07-01,Puerto Rico,2,0.5,2
2016-07-01,Rhode Island,3,0.67,3
2016-07-01,South Carolina,9,0.56,9
2016-07-01,South Dakota,1,1,1
